"","beta","HR (95% CI for HR)","wald.test","p.value"
"G157506","0.034","1 (0.71-1.5)","0.03","0.86"
"G135295","0.14","1.1 (0.75-1.7)","0.42","0.52"
"G149647","-0.83","0.44 (0.22-0.88)","5.4","0.02"
"G202309","-0.28","0.75 (0.54-1.1)","2.7","0.1"
"G80274","-0.49","0.61 (0.43-0.86)","7.8","0.0053"
"G150378","-0.41","0.67 (0.52-0.85)","10","0.0014"
"G203111","0.16","1.2 (0.95-1.5)","2.3","0.13"
"G164127","-0.12","0.89 (0.7-1.1)","1.1","0.3"
"G150350","0.31","1.4 (0.96-1.9)","3","0.083"
"G81629","1.6","4.9 (2.6-9.3)","24","8.1e-07"
"G140870","-0.072","0.93 (0.72-1.2)","0.3","0.59"
"G160364","0.027","1 (0.63-1.7)","0.01","0.91"
"G2972","-0.28","0.76 (0.39-1.5)","0.67","0.41"
"G123591","-0.41","0.66 (0.35-1.3)","1.6","0.2"
"G571","-0.53","0.59 (0.24-1.5)","1.3","0.25"
"G100379661","-0.15","0.86 (0.46-1.6)","0.22","0.64"
"G163688","0.2","1.2 (0.94-1.6)","2.3","0.13"
"G126206","0.075","1.1 (0.83-1.4)","0.3","0.58"
"G146852","-0.1","0.9 (0.61-1.3)","0.28","0.6"
"G165530","-0.2","0.82 (0.62-1.1)","2","0.15"
"G245909","-0.32","0.73 (0.48-1.1)","2.3","0.13"
"G503841","-0.32","0.73 (0.48-1.1)","2.3","0.13"
"G259240","-0.0088","0.99 (0.64-1.5)","0","0.97"
"G121441","0.99","2.7 (1.1-6.5)","4.7","0.03"
"G254173","0.039","1 (0.54-2)","0.01","0.91"
"G125972","-0.34","0.71 (0.52-0.98)","4.4","0.036"
"G220979","-0.19","0.82 (0.59-1.2)","1.2","0.26"
"G2117","-0.071","0.93 (0.45-1.9)","0.04","0.85"
"G317719","0.21","1.2 (0.81-1.9)","0.94","0.33"
"G80213","1.5","4.3 (1-18)","4.1","0.043"
"G220992","-0.14","0.87 (0.52-1.4)","0.3","0.58"
"G116966","-0.5","0.61 (0.45-0.83)","10","0.0014"
"G162387","-0.11","0.9 (0.76-1.1)","1.6","0.21"
"G64072","0.066","1.1 (0.6-1.9)","0.05","0.82"
"G100653137","0.066","1.1 (0.6-1.9)","0.05","0.82"
"G150709","0.0056","1 (0.68-1.5)","0","0.98"
"G84465","-0.41","0.66 (0.51-0.86)","9.7","0.0018"
"G11318","-0.5","0.61 (0.36-1)","3.5","0.062"
"G80712","0.31","1.4 (1-1.8)","4.3","0.038"
"G83656","-0.25","0.78 (0.6-1)","3.6","0.057"
"G147199","0.031","1 (0.8-1.3)","0.06","0.81"
"G653486","0.031","1 (0.8-1.3)","0.06","0.81"
"G285126","-0.22","0.8 (0.6-1.1)","2.2","0.14"
"G126248","0.67","1.9 (1.1-3.4)","5.4","0.02"
"G158471","-0.27","0.77 (0.49-1.2)","1.3","0.25"
"G125997","-0.21","0.81 (0.54-1.2)","1","0.3"
"G92949","-0.24","0.79 (0.45-1.4)","0.72","0.39"
"G85509","-0.29","0.75 (0.51-1.1)","2.3","0.13"
"G169966","0.17","1.2 (0.87-1.6)","1.2","0.27"
"G89778","-0.23","0.8 (0.6-1)","2.6","0.11"
"G118421","0.38","1.5 (1-2.1)","4.2","0.04"
"G259234","-0.32","0.72 (0.45-1.2)","1.9","0.17"
"G83451","0.62","1.9 (1.1-3.2)","4.9","0.028"
"G23527","-0.69","0.5 (0.16-1.6)","1.3","0.25"
"G2593","0.14","1.2 (0.73-1.8)","0.39","0.53"
"G113026","0.86","2.4 (1.4-4.1)","9.4","0.0021"
"G3664","0.35","1.4 (0.91-2.2)","2.4","0.12"
"G5788","-0.24","0.79 (0.47-1.3)","0.85","0.36"
"G10905","-0.14","0.87 (0.31-2.5)","0.07","0.8"
"G65059","-1.1","0.32 (0.16-0.66)","9.5","0.002"
"G140775","-1.4","0.25 (0.082-0.77)","5.8","0.016"
"G114294","0.88","2.4 (1.1-5.2)","5.1","0.024"
"G646","0.018","1 (0.75-1.4)","0.01","0.91"
"G58538","-0.01","0.99 (0.75-1.3)","0","0.94"
"G246269","-0.68","0.51 (0.2-1.3)","2","0.15"
"G91734","0.026","1 (0.6-1.8)","0.01","0.92"
"G1584","-0.2","0.82 (0.55-1.2)","0.96","0.33"
"G129685","0.12","1.1 (0.5-2.5)","0.08","0.78"
"G23242","-0.21","0.81 (0.65-1)","3.8","0.053"
"G114836","0.13","1.1 (0.75-1.7)","0.37","0.54"
"G7579","0.25","1.3 (0.54-3.1)","0.32","0.57"
"G151306","-0.017","0.98 (0.76-1.3)","0.02","0.9"
"G54933","0.19","1.2 (0.76-1.9)","0.66","0.42"
"G80144","-0.8","0.45 (0.3-0.68)","14","0.00017"
"G84446","0.18","1.2 (0.91-1.6)","1.6","0.2"
"G286204","0.35","1.4 (1.1-1.9)","6.9","0.0085"
"G23704","0.23","1.3 (0.93-1.7)","2.2","0.14"
"G146894","-1","0.36 (0.22-0.6)","16","8.3e-05"
"G142680","-0.14","0.87 (0.47-1.6)","0.19","0.66"
"G57094","0.13","1.1 (0.96-1.3)","2.2","0.14"
"G164684","-0.45","0.64 (0.48-0.86)","9","0.0027"
"G204851","0.067","1.1 (0.5-2.3)","0.03","0.86"
"G27085","-0.24","0.79 (0.47-1.3)","0.78","0.38"
"G130399","-0.18","0.83 (0.56-1.2)","0.8","0.37"
"G157753","0.059","1.1 (0.61-1.9)","0.04","0.84"
"G201798","-0.22","0.8 (0.47-1.4)","0.67","0.41"
"G116969","-0.35","0.71 (0.47-1.1)","2.7","0.1"
"G196472","-0.54","0.58 (0.41-0.83)","9.2","0.0024"
"G84536","0.094","1.1 (0.64-1.9)","0.11","0.74"
"G204801","-0.034","0.97 (0.77-1.2)","0.09","0.76"
"G245973","-0.016","0.98 (0.81-1.2)","0.03","0.86"
"G149461","0.04","1 (0.57-1.9)","0.02","0.9"
"G143187","0.42","1.5 (0.53-4.4)","0.61","0.44"
"G221458","-0.53","0.59 (0.34-1)","3.7","0.056"
"G115811","0.099","1.1 (0.75-1.6)","0.25","0.62"
"G117289","-0.017","0.98 (0.55-1.8)","0","0.95"
"G85439","0.025","1 (0.58-1.8)","0.01","0.93"
"G145264","-0.55","0.58 (0.4-0.84)","8.5","0.0036"
"G137994","-0.15","0.86 (0.54-1.4)","0.38","0.54"
"G7809","0.52","1.7 (0.94-3)","3","0.081"
"G170482","0.00021","1 (0.67-1.5)","0","1"
"G58484","0.36","1.4 (0.93-2.2)","2.7","0.1"
"G146547","-0.45","0.63 (0.44-0.92)","5.7","0.017"
"G158866","-0.42","0.66 (0.47-0.92)","5.8","0.016"
"G10743","-0.099","0.91 (0.48-1.7)","0.09","0.76"
"G65061","-0.43","0.65 (0.38-1.1)","2.6","0.11"
"G148268","-0.12","0.89 (0.37-2.1)","0.07","0.79"
"G119369","-0.38","0.69 (0.49-0.95)","5","0.025"
"G118663","0.24","1.3 (1.1-1.5)","6.8","0.0089"
"G83597","-0.08","0.92 (0.69-1.2)","0.29","0.59"
"G54084","-0.19","0.82 (0.5-1.3)","0.6","0.44"
"G145282","-0.13","0.88 (0.53-1.4)","0.28","0.6"
"G135398","0.015","1 (0.76-1.4)","0.01","0.92"
"G200420","-0.027","0.97 (0.58-1.6)","0.01","0.92"
"G140469","0.16","1.2 (0.93-1.5)","1.8","0.18"
"G8747","-0.16","0.85 (0.53-1.4)","0.46","0.5"
"G205860","0.081","1.1 (0.86-1.4)","0.45","0.5"
"G150000","-0.74","0.48 (0.31-0.73)","12","0.00058"
"G3594","0.52","1.7 (0.85-3.4)","2.2","0.14"
"G11036","-0.047","0.95 (0.71-1.3)","0.1","0.76"
"G162514","0.071","1.1 (0.61-1.9)","0.06","0.8"
"G168975","0.098","1.1 (0.75-1.6)","0.24","0.62"
"G94160","-0.013","0.99 (0.73-1.3)","0.01","0.93"
"G118856","-0.018","0.98 (0.78-1.2)","0.02","0.88"
"G147744","-0.00067","1 (0.83-1.2)","0","0.99"
"G246176","0.072","1.1 (0.82-1.4)","0.28","0.6"
"G93107","0.041","1 (0.77-1.4)","0.07","0.79"
"G222659","0.47","1.6 (1.1-2.4)","5.2","0.022"
"G27091","0.075","1.1 (0.65-1.8)","0.09","0.77"
"G54143","0.31","1.4 (0.91-2)","2.3","0.13"
"G286967","-0.45","0.64 (0.4-1)","3.7","0.055"
"G100132967","-0.63","0.53 (0.35-0.79)","9.5","0.0021"
"G259239","-0.025","0.97 (0.73-1.3)","0.03","0.86"
"G282616","0.18","1.2 (0.76-1.9)","0.62","0.43"
"G282617","0.13","1.1 (0.86-1.5)","0.81","0.37"
"G3716","0.069","1.1 (0.37-3.1)","0.02","0.9"
"G56990","0.77","2.2 (1-4.5)","4.1","0.042"
"G32","-1.4","0.26 (0.13-0.5)","17","4.7e-05"
"G64326","-0.31","0.73 (0.24-2.2)","0.29","0.59"
"G10228","-0.47","0.62 (0.29-1.3)","1.5","0.22"
"G54443","0.33","1.4 (1.1-1.7)","9.3","0.0023"
"G163778","-0.59","0.55 (0.27-1.2)","2.5","0.12"
"G5439","-0.87","0.42 (0.21-0.85)","5.7","0.017"
"G246721","-1.1","0.33 (0.18-0.64)","11","0.00083"
"G548644","-0.95","0.39 (0.22-0.69)","10","0.0014"
"G100134938","-0.95","0.39 (0.22-0.69)","10","0.0014"
"G441259","-0.71","0.49 (0.3-0.79)","8.6","0.0034"
"G84941","-0.021","0.98 (0.7-1.4)","0.01","0.9"
"G51095","-0.44","0.64 (0.23-1.8)","0.68","0.41"
"G81615","-0.61","0.54 (0.41-0.72)","18","1.9e-05"
"G394","0.19","1.2 (0.47-3.1)","0.16","0.69"
"G64224","-1.1","0.32 (0.12-0.89)","4.7","0.03"
"G23210","0.11","1.1 (0.5-2.5)","0.08","0.78"
"G10847","0.51","1.7 (0.82-3.3)","2","0.16"
"G9064","-0.58","0.56 (0.31-1)","3.7","0.054"
"G22901","-0.56","0.57 (0.27-1.2)","2.2","0.14"
"G94039","-0.038","0.96 (0.48-1.9)","0.01","0.92"
"G5781","1.4","4.2 (1.8-10)","10","0.0013"
"G113730","0.54","1.7 (1.1-2.6)","6.1","0.013"
"G55210","-0.22","0.8 (0.41-1.6)","0.43","0.51"
"G83858","-0.21","0.81 (0.4-1.6)","0.33","0.57"
"G199777","-0.69","0.5 (0.29-0.86)","6.4","0.011"
"G80012","-1.3","0.27 (0.079-0.94)","4.2","0.04"
"G3590","-1","0.36 (0.22-0.61)","15","0.00011"
"G8797","0.18","1.2 (0.65-2.2)","0.33","0.56"
"G117584","1.3","3.8 (1.3-11)","6.2","0.013"
"G100529207","1.1","3.1 (1.4-7)","7.2","0.0072"
"G89781","-1.2","0.29 (0.099-0.84)","5.2","0.023"
"G127933","1.1","3.1 (1.3-7.4)","6.8","0.0089"
"G84203","-0.58","0.56 (0.37-0.85)","7.6","0.0058"
"G89795","-0.42","0.66 (0.37-1.2)","2","0.15"
"G55322","0.58","1.8 (0.9-3.5)","2.7","0.099"
"G56099","-0.82","0.44 (0.24-0.82)","6.7","0.0097"
"G23085","0.33","1.4 (0.36-5.3)","0.23","0.63"
"G201163","-1","0.35 (0.15-0.84)","5.6","0.018"
"G84989","-0.096","0.91 (0.54-1.5)","0.13","0.72"
"G57554","0.32","1.4 (0.96-2)","3","0.085"
"G10044","-0.24","0.78 (0.53-1.2)","1.5","0.23"
"G79660","-0.016","0.98 (0.56-1.7)","0","0.96"
"G84679","0.2","1.2 (0.78-1.9)","0.8","0.37"
"G3321","-0.057","0.94 (0.57-1.6)","0.05","0.82"
"G222546","-0.12","0.89 (0.73-1.1)","1.4","0.23"
"G116093","-0.15","0.86 (0.68-1.1)","1.7","0.19"
"G150353","-0.25","0.78 (0.65-0.94)","6.8","0.0089"
"G114131","-0.45","0.64 (0.47-0.86)","8.8","0.003"
"G23181","-0.27","0.76 (0.32-1.8)","0.4","0.53"
"G57646","-0.86","0.42 (0.17-1.1)","3.2","0.072"
"G57082","0.42","1.5 (1-2.3)","3.8","0.051"
"G123228","0.0059","1 (0.46-2.2)","0","0.99"
"G29841","0.23","1.3 (0.81-2)","1.1","0.3"
"G140894","-0.33","0.72 (0.46-1.1)","2.1","0.15"
"G57524","0.08","1.1 (0.69-1.7)","0.12","0.73"
"G93589","-0.48","0.62 (0.31-1.3)","1.8","0.18"
"G115761","0.42","1.5 (1-2.2)","4.4","0.036"
"G114134","-0.47","0.62 (0.33-1.2)","2.2","0.14"
"G123606","0.33","1.4 (0.67-2.9)","0.8","0.37"
"G113691","-0.1","0.9 (0.69-1.2)","0.56","0.46"
"G114769","-0.11","0.9 (0.51-1.6)","0.14","0.7"
"G834","0.21","1.2 (0.63-2.4)","0.38","0.54"
"G142679","-0.81","0.44 (0.23-0.86)","5.9","0.015"
"G124637","-0.58","0.56 (0.35-0.9)","5.8","0.016"
"G23057","0.25","1.3 (0.99-1.7)","3.6","0.06"
"G6521","-0.16","0.85 (0.57-1.3)","0.62","0.43"
"G200407","0.34","1.4 (1.1-1.9)","5.8","0.016"
"G59350","-0.35","0.7 (0.55-0.9)","7.6","0.006"
"G79925","-0.0057","0.99 (0.61-1.6)","0","0.98"
"G9859","-0.26","0.77 (0.39-1.5)","0.58","0.45"
"G645455","-0.26","0.77 (0.39-1.5)","0.58","0.45"
"G92675","0.6","1.8 (0.65-5.1)","1.3","0.25"
"G113201","-0.85","0.43 (0.2-0.92)","4.7","0.031"
"G2246","0.31","1.4 (0.89-2.1)","2.1","0.15"
"G10777","0.11","1.1 (0.63-1.9)","0.14","0.71"
"G158800","-0.78","0.46 (0.25-0.83)","6.8","0.0093"
"G170691","-0.66","0.51 (0.33-0.8)","8.6","0.0033"
"G84973","-0.97","0.38 (0.17-0.85)","5.6","0.018"
"G677804","-0.97","0.38 (0.17-0.85)","5.6","0.018"
"G677824","-0.71","0.49 (0.22-1.1)","3","0.081"
"G50846","-0.15","0.86 (0.63-1.2)","0.9","0.34"
"G137735","-0.039","0.96 (0.67-1.4)","0.04","0.83"
"G122773","-0.57","0.57 (0.43-0.75)","16","5.2e-05"
"G253260","-0.71","0.49 (0.2-1.2)","2.3","0.13"
"G56111","-0.23","0.8 (0.43-1.5)","0.52","0.47"
"G81832","0.32","1.4 (1.1-1.7)","9.2","0.0024"
"G11060","-0.25","0.78 (0.39-1.6)","0.5","0.48"
"G54879","-0.32","0.73 (0.31-1.7)","0.55","0.46"
"G150590","-0.22","0.8 (0.6-1.1)","2.3","0.13"
"G131096","-0.14","0.87 (0.71-1.1)","1.8","0.18"
"G23263","-0.24","0.79 (0.37-1.7)","0.39","0.53"
"G133482","-0.11","0.9 (0.75-1.1)","1.2","0.26"
"G151649","0.11","1.1 (0.77-1.6)","0.32","0.57"
"G147700","0.59","1.8 (1.1-2.8)","6.6","0.01"
"G117286","-0.0031","1 (0.63-1.6)","0","0.99"
"G253559","0.087","1.1 (0.77-1.5)","0.25","0.62"
"G157983","0.064","1.1 (0.81-1.4)","0.22","0.64"
"G9734","-0.22","0.81 (0.48-1.3)","0.68","0.41"
"G162515","-0.59","0.56 (0.35-0.88)","6.4","0.011"
"G91147","-1.2","0.29 (0.16-0.52)","17","4e-05"
"G90161","0.0074","1 (0.82-1.2)","0","0.95"
"G84254","0.24","1.3 (0.77-2.1)","0.88","0.35"
"G90589","-0.38","0.68 (0.3-1.6)","0.8","0.37"
"G147837","-0.72","0.49 (0.3-0.8)","8","0.0046"
"G286826","-0.26","0.77 (0.47-1.3)","1","0.31"
"G338339","0.66","1.9 (1.2-3)","8.5","0.0035"
"G9481","-0.77","0.46 (0.32-0.67)","16","5.5e-05"
"G222545","0.032","1 (0.78-1.4)","0.05","0.82"
"G135250","0.13","1.1 (0.85-1.5)","0.72","0.4"
"G204962","0.017","1 (0.83-1.2)","0.03","0.87"
"G147687","-0.022","0.98 (0.53-1.8)","0","0.94"
"G163115","0.01","1 (0.7-1.5)","0","0.96"
"G92797","-0.16","0.86 (0.45-1.6)","0.23","0.63"
"G7095","-0.44","0.64 (0.27-1.5)","1","0.31"
"G10345","-0.024","0.98 (0.66-1.4)","0.02","0.9"
"G122809","0.13","1.1 (0.53-2.4)","0.1","0.75"
"G286122","0.27","1.3 (0.96-1.8)","3","0.084"
"G284306","-0.72","0.49 (0.28-0.83)","6.9","0.0085"
"G6492","0.31","1.4 (0.95-2)","2.8","0.095"
"G150696","0.2","1.2 (0.67-2.2)","0.41","0.52"
"G7099","0.31","1.4 (0.86-2.1)","1.7","0.19"
"G203062","-0.49","0.62 (0.28-1.4)","1.4","0.24"
"G92291","-0.24","0.79 (0.62-1)","3.9","0.047"
"G3925","-0.27","0.76 (0.43-1.4)","0.81","0.37"
"G89790","0.49","1.6 (1.1-2.4)","6.7","0.0095"
"G5992","-0.46","0.63 (0.42-0.93)","5.4","0.02"
"G117166","-0.48","0.62 (0.46-0.83)","10","0.0015"
"G29843","1.7","5.7 (2-16)","10","0.0012"
"G136259","0.21","1.2 (0.82-1.8)","0.98","0.32"
"G158046","0.35","1.4 (0.88-2.3)","2.1","0.15"
"G680","-0.16","0.85 (0.55-1.3)","0.49","0.48"
"G257103","-0.32","0.73 (0.45-1.2)","1.6","0.2"
"G102723489","-0.32","0.73 (0.45-1.2)","1.6","0.2"
"G102725097","-0.32","0.73 (0.45-1.2)","1.6","0.2"
"G54495","-0.91","0.4 (0.19-0.84)","5.9","0.015"
"G252884","-0.4","0.67 (0.38-1.2)","2","0.16"
"G115111","-0.51","0.6 (0.42-0.85)","8.3","0.0039"
"G112574","0.22","1.2 (0.62-2.5)","0.38","0.53"
"G162517","0.093","1.1 (0.82-1.5)","0.4","0.53"
"G192134","0.16","1.2 (0.89-1.5)","1.3","0.25"
"G163486","-0.93","0.4 (0.15-1)","3.7","0.054"
"G285267","0.68","2 (0.84-4.6)","2.4","0.12"
"G22858","-0.34","0.72 (0.52-0.99)","4","0.044"
"G161142","-0.22","0.8 (0.63-1)","3.3","0.07"
"G79370","-0.23","0.79 (0.46-1.4)","0.72","0.4"
"G266722","-0.26","0.77 (0.49-1.2)","1.2","0.27"
"G10861","-0.61","0.54 (0.28-1)","3.3","0.068"
"G24146","-0.62","0.54 (0.32-0.92)","5.1","0.024"
"G115273","0.68","2 (1.2-3.2)","7.7","0.0056"
"G139411","-0.17","0.85 (0.68-1)","2.3","0.13"
"G130951","0.36","1.4 (0.91-2.3)","2.4","0.12"
"G201516","-0.25","0.78 (0.63-0.97)","5","0.026"
"G127731","0.22","1.3 (0.84-1.9)","1.2","0.27"
"G197196","-0.18","0.84 (0.63-1.1)","1.4","0.23"
"G3362","0.42","1.5 (0.98-2.4)","3.4","0.064"
"G158809","0.17","1.2 (0.94-1.5)","2.1","0.15"
"G162699","0.057","1.1 (0.78-1.4)","0.13","0.72"
"G728929","0.057","1.1 (0.78-1.4)","0.13","0.72"
"G100506888","0.057","1.1 (0.78-1.4)","0.13","0.72"
"G101060464","0.057","1.1 (0.78-1.4)","0.13","0.72"
"G101929858","0.057","1.1 (0.78-1.4)","0.13","0.72"
"G101930165","0.057","1.1 (0.78-1.4)","0.13","0.72"
"G101930171","0.057","1.1 (0.78-1.4)","0.13","0.72"
"G284618","-0.67","0.51 (0.33-0.78)","9.6","0.002"
"G59285","0.17","1.2 (0.66-2.2)","0.32","0.57"
"G160492","-0.36","0.7 (0.46-1.1)","2.8","0.092"
"G148046","0.24","1.3 (0.84-1.9)","1.3","0.25"
"G126859","0.044","1 (0.69-1.6)","0.04","0.84"
"G80161","-0.32","0.72 (0.37-1.4)","0.88","0.35"
"G131450","-0.1","0.9 (0.57-1.4)","0.19","0.66"
"G114042","0.25","1.3 (0.72-2.3)","0.7","0.4"
"G220202","0.13","1.1 (0.82-1.6)","0.6","0.44"
"G89866","-0.72","0.49 (0.27-0.87)","6","0.015"
"G139285","-0.083","0.92 (0.7-1.2)","0.37","0.54"
"G157848","0.066","1.1 (0.65-1.8)","0.07","0.8"
"G219793","0.031","1 (0.64-1.7)","0.02","0.9"
"G90332","-0.68","0.51 (0.2-1.3)","2.1","0.15"
"G57010","0.33","1.4 (0.74-2.6)","1","0.31"
"G115650","0.12","1.1 (0.79-1.6)","0.41","0.52"
"G94032","0.93","2.5 (1.2-5.6)","5.4","0.02"
"G149992","0.054","1.1 (0.63-1.8)","0.04","0.84"
"G170850","-0.029","0.97 (0.66-1.4)","0.02","0.88"
"G154089","0.43","1.5 (0.84-2.8)","1.9","0.17"
"G93986","0.17","1.2 (0.73-1.9)","0.45","0.5"
"G124872","-0.09","0.91 (0.67-1.2)","0.32","0.57"
"G158521","-0.13","0.88 (0.72-1.1)","1.4","0.23"
"G148823","-0.17","0.84 (0.65-1.1)","1.8","0.18"
"G114132","-0.12","0.88 (0.62-1.3)","0.46","0.5"
"G149233","-0.22","0.8 (0.59-1.1)","2","0.16"
"G286514","0.084","1.1 (0.9-1.3)","0.74","0.39"
"G80381","0.65","1.9 (0.83-4.4)","2.3","0.13"
"G282618","-0.31","0.73 (0.56-0.95)","5.4","0.02"
"G132989","0.29","1.3 (0.94-1.9)","2.6","0.11"
"G63979","0.73","2.1 (1.3-3.3)","9.2","0.0024"
"G22999","0.093","1.1 (0.81-1.5)","0.37","0.54"
"G57605","-0.23","0.8 (0.47-1.3)","0.73","0.39"
"G57575","-0.32","0.73 (0.49-1.1)","2.5","0.11"
"G257397","-1.1","0.34 (0.15-0.81)","6","0.014"
"G131890","-0.04","0.96 (0.78-1.2)","0.15","0.7"
"G79258","0.37","1.4 (0.9-2.3)","2.3","0.13"
"G5151","-1.1","0.32 (0.14-0.73)","7.4","0.0065"
"G171389","-0.044","0.96 (0.75-1.2)","0.13","0.72"
"G254268","0.17","1.2 (0.77-1.8)","0.57","0.45"
"G203430","-0.13","0.88 (0.56-1.4)","0.31","0.58"
"G11277","0.6","1.8 (0.65-5.1)","1.3","0.25"
"G84126","0.6","1.8 (0.65-5.1)","1.3","0.25"
"G85416","0.36","1.4 (0.92-2.3)","2.5","0.11"
"G284","-0.45","0.64 (0.45-0.91)","6.4","0.012"
"G127670","-0.014","0.99 (0.73-1.3)","0.01","0.93"
"G149373","-1","0.35 (0.16-0.8)","6.2","0.013"
"G2565","-0.17","0.84 (0.59-1.2)","0.87","0.35"
"G56666","0.086","1.1 (0.5-2.4)","0.05","0.83"
"G163071","-0.35","0.71 (0.54-0.92)","6.5","0.011"
"G148870","-0.2","0.82 (0.64-1.1)","2.5","0.12"
"G161502","-0.092","0.91 (0.77-1.1)","1.1","0.29"
"G159162","0.077","1.1 (0.74-1.6)","0.16","0.69"
"G100652931","0.077","1.1 (0.74-1.6)","0.16","0.69"
"G4761","-0.32","0.72 (0.44-1.2)","1.6","0.2"
"G439936","-0.2","0.82 (0.61-1.1)","1.8","0.18"
"G83655","-0.24","0.78 (0.54-1.1)","1.6","0.2"
