"","beta","HR (95% CI for HR)","wald.test","p.value"
"G780","0.12","1.1 (0.59-2.2)","0.14","0.71"
"G100616237","0.12","1.1 (0.59-2.2)","0.14","0.71"
"G5982","0.96","2.6 (1.5-4.5)","12","0.00061"
"G3310","0.086","1.1 (0.73-1.6)","0.18","0.67"
"G7849","-0.093","0.91 (0.47-1.8)","0.07","0.78"
"G2978","0.69","2 (1.4-2.8)","17","3.3e-05"
"G7318","-0.38","0.69 (0.26-1.8)","0.6","0.44"
"G100847079","-0.38","0.69 (0.26-1.8)","0.6","0.44"
"G7067","-0.37","0.69 (0.32-1.5)","0.89","0.34"
"G11099","-0.92","0.4 (0.21-0.74)","8.6","0.0033"
"G6352","0.23","1.3 (0.91-1.7)","2","0.16"
"G1571","-0.52","0.59 (0.39-0.9)","6","0.015"
"G2049","0.4","1.5 (1-2.2)","4.1","0.043"
"G2101","-0.25","0.78 (0.31-2)","0.28","0.6"
"G1548","0.43","1.5 (0.93-2.6)","2.8","0.095"
"G949","0.33","1.4 (0.74-2.6)","1","0.3"
"G23170","0.56","1.8 (1.1-2.8)","5.2","0.022"
"G112597","0.5","1.7 (0.83-3.3)","2.1","0.15"
"G101930489","0.5","1.7 (0.83-3.3)","2.1","0.15"
"G10406","0.011","1 (0.72-1.4)","0","0.95"
"G5594","0.18","1.2 (0.37-4)","0.09","0.76"
"G203102","-0.036","0.96 (0.74-1.3)","0.07","0.78"
"G128153","-0.19","0.83 (0.61-1.1)","1.3","0.25"
"G163154","0.3","1.3 (0.78-2.3)","1.1","0.29"
"G54899","-0.96","0.38 (0.17-0.84)","5.7","0.017"
"G57617","0.24","1.3 (0.77-2.1)","0.88","0.35"
"G91283","1.6","4.9 (2.2-11)","16","7.8e-05"
"G113235","0.17","1.2 (0.57-2.5)","0.2","0.66"
"G91937","0.16","1.2 (0.86-1.6)","0.99","0.32"
"G283375","-0.26","0.77 (0.45-1.3)","0.92","0.34"
"G79844","-0.44","0.65 (0.53-0.79)","18","2.3e-05"
"G653082","-0.46","0.63 (0.51-0.78)","19","1.5e-05"
"G90423","-0.72","0.49 (0.22-1.1)","3.1","0.078"
"G172","-1.5","0.22 (0.096-0.51)","13","0.00038"
"G148113","0.16","1.2 (0.84-1.6)","0.87","0.35"
"G54965","0.39","1.5 (0.9-2.4)","2.4","0.12"
"G256130","-0.062","0.94 (0.66-1.3)","0.12","0.73"
"G91252","0.82","2.3 (0.82-6.3)","2.5","0.12"
"G266675","0.19","1.2 (0.97-1.5)","2.8","0.092"
"G221264","-0.6","0.55 (0.35-0.86)","6.9","0.0088"
"G84940","-0.84","0.43 (0.19-0.98)","4","0.045"
"G113277","-0.73","0.48 (0.26-0.91)","5","0.025"
"G84920","0.84","2.3 (0.84-6.4)","2.6","0.11"
"G125488","0.37","1.4 (0.67-3.1)","0.88","0.35"
"G91624","-0.22","0.81 (0.54-1.2)","1.1","0.29"
"G123207","-0.45","0.64 (0.29-1.4)","1.3","0.26"
"G84839","0.19","1.2 (0.66-2.2)","0.38","0.54"
"G4238","0.85","2.3 (0.93-5.9)","3.3","0.07"
"G2140","-0.27","0.77 (0.39-1.5)","0.59","0.44"
"G170575","-0.41","0.67 (0.42-1.1)","3","0.081"
"G11202","-0.29","0.75 (0.47-1.2)","1.5","0.22"
"G85478","-0.11","0.9 (0.66-1.2)","0.46","0.5"
"G159091","-0.25","0.78 (0.37-1.7)","0.42","0.52"
"G220136","-0.27","0.77 (0.57-1)","3.2","0.073"
"G100131755","-0.6","0.55 (0.33-0.92)","5.1","0.023"
"G5930","-1.9","0.15 (0.045-0.52)","9","0.0027"
"G92806","-0.29","0.75 (0.41-1.3)","0.95","0.33"
"G11078","-0.11","0.89 (0.37-2.1)","0.07","0.8"
"G117144","0.33","1.4 (1-1.9)","4.2","0.04"
"G3233","0.35","1.4 (0.96-2.1)","3.1","0.08"
"G145258","0.4","1.5 (0.84-2.6)","1.8","0.17"
"G121340","-0.0024","1 (0.76-1.3)","0","0.99"
"G5150","-1.2","0.31 (0.13-0.73)","7.2","0.0074"
"G29883","0.017","1 (0.39-2.7)","0","0.97"
"G9946","-1.2","0.31 (0.14-0.66)","9.3","0.0023"
"G260429","0.13","1.1 (0.79-1.6)","0.47","0.49"
"G255057","-0.013","0.99 (0.47-2.1)","0","0.97"
"G157777","-0.24","0.79 (0.57-1.1)","2.2","0.14"
"G114609","-0.45","0.64 (0.29-1.4)","1.3","0.26"
"G116842","-0.74","0.48 (0.29-0.78)","8.5","0.0035"
"G124540","0.79","2.2 (0.92-5.3)","3.2","0.075"
"G85477","0.35","1.4 (1.1-1.8)","7.7","0.0055"
"G140690","-0.28","0.76 (0.59-0.97)","4.9","0.026"
"G132321","-0.4","0.67 (0.44-1)","3.4","0.065"
"G84449","-1.1","0.34 (0.16-0.72)","7.9","0.0049"
"G201158","-1.3","0.27 (0.12-0.61)","10","0.0015"
