"","beta","HR (95% CI for HR)","wald.test","p.value"
"G780","0.26","1.3 (0.57-3)","0.4","0.53"
"G100616237","0.26","1.3 (0.57-3)","0.4","0.53"
"G5982","0.14","1.1 (0.39-3.4)","0.06","0.8"
"G3310","0.081","1.1 (0.75-1.6)","0.18","0.67"
"G7849","-0.087","0.92 (0.025-34)","0","0.96"
"G2978","0.55","1.7 (0.14-22)","0.18","0.67"
"G7318","0.18","1.2 (0.41-3.5)","0.1","0.75"
"G100847079","0.18","1.2 (0.41-3.5)","0.1","0.75"
"G7067","-2.4","0.09 (0.0078-1)","3.7","0.054"
"G11099","0.15","1.2 (0.18-7.3)","0.03","0.87"
"G6352","-0.35","0.7 (0.44-1.1)","2.1","0.15"
"G1571","-0.45","0.64 (0.18-2.3)","0.48","0.49"
"G2049","0.55","1.7 (0.59-5.1)","1","0.32"
"G2101","1.2","3.5 (0.76-16)","2.6","0.11"
"G1548","-1.4","0.25 (0.014-4.5)","0.88","0.35"
"G949","-0.21","0.81 (0.17-3.9)","0.07","0.79"
"G23170","1.2","3.2 (1.4-7.4)","7.8","0.0053"
"G112597","-1.3","0.27 (0.032-2.2)","1.5","0.22"
"G101930489","-1.3","0.27 (0.032-2.2)","1.5","0.22"
"G10406","-0.24","0.78 (0.46-1.3)","0.79","0.37"
"G5594","1.4","3.9 (0.76-20)","2.6","0.1"
"G203102","-0.23","0.79 (0.1-6.1)","0.05","0.82"
"G128153","0.33","1.4 (0.76-2.5)","1.1","0.29"
"G163154","0.85","2.3 (0.24-23)","0.53","0.47"
"G54899","0.57","1.8 (0.43-7.3)","0.61","0.43"
"G57617","-0.26","0.77 (0.098-6.1)","0.06","0.81"
"G91283","0.13","1.1 (0.46-2.9)","0.08","0.78"
"G113235","1.2","3.3 (0.41-26)","1.3","0.26"
"G91937","-0.92","0.4 (0.083-1.9)","1.3","0.25"
"G283375","-0.88","0.42 (0.043-4)","0.57","0.45"
"G79844","0.16","1.2 (0.75-1.8)","0.5","0.48"
"G653082","0.12","1.1 (0.78-1.6)","0.44","0.51"
"G90423","-2.2","0.11 (0.022-0.58)","6.8","0.0089"
"G172","-0.23","0.8 (0.18-3.5)","0.09","0.76"
"G148113","-0.012","0.99 (0.43-2.2)","0","0.98"
