"","beta","HR (95% CI for HR)","wald.test","p.value"
"G54965","-1.2","0.29 (0.085-1)","3.8","0.052"
"G256130","-3.1","0.046 (0.00029-7.3)","1.4","0.23"
"G91252","0.49","1.6 (0.29-9.2)","0.31","0.58"
"G266675","0.099","1.1 (0.34-3.6)","0.03","0.87"
"G221264","0.81","2.3 (0.43-12)","0.94","0.33"
"G84940","-1.2","0.31 (0.048-2)","1.5","0.22"
"G113277","-1.6","0.21 (0.023-1.8)","2","0.16"
"G84920","-0.055","0.95 (0.4-2.3)","0.02","0.9"
"G125488","-0.73","0.48 (0.23-1)","3.8","0.05"
"G91624","-0.29","0.75 (0.35-1.6)","0.53","0.47"
"G123207","-0.75","0.47 (0.13-1.7)","1.3","0.25"
"G84839","0.57","1.8 (0.14-23)","0.19","0.66"
"G4238","0.95","2.6 (0.95-7)","3.5","0.062"
"G2140","0.63","1.9 (0.054-66)","0.12","0.73"
"G170575","-0.31","0.73 (0.26-2.1)","0.35","0.55"
"G11202","0.25","1.3 (0.35-4.7)","0.14","0.71"
"G85478","0.33","1.4 (0.13-15)","0.08","0.78"
"G159091","-0.81","0.44 (0.032-6.1)","0.37","0.54"
"G220136","0.63","1.9 (0.49-7.2)","0.83","0.36"
"G100131755","-0.62","0.54 (0.071-4.1)","0.36","0.55"
"G5930","-0.033","0.97 (0.092-10)","0","0.98"
"G92806","-0.84","0.43 (0.086-2.2)","1","0.31"
"G11078","0.46","1.6 (0.37-6.8)","0.39","0.53"
"G117144","-0.56","0.57 (0.25-1.3)","1.7","0.19"
"G3233","0.49","1.6 (0.43-6.2)","0.52","0.47"
"G145258","0.29","1.3 (0.33-5.5)","0.17","0.68"
"G121340","-0.93","0.39 (0.055-2.8)","0.87","0.35"
"G5150","0.19","1.2 (0.26-5.5)","0.06","0.81"
"G29883","-0.5","0.61 (0.17-2.2)","0.57","0.45"
"G9946","0.46","1.6 (0.61-4.1)","0.89","0.34"
"G260429","-0.12","0.89 (0.18-4.3)","0.02","0.88"
"G255057","0.18","1.2 (0.18-7.8)","0.04","0.85"
"G157777","0.74","2.1 (0.19-24)","0.35","0.55"
"G114609","-0.25","0.78 (0.1-6)","0.06","0.81"
"G116842","-0.46","0.63 (0.23-1.8)","0.76","0.38"
"G124540","-0.91","0.4 (0.09-1.8)","1.4","0.24"
"G85477","0.044","1 (0.77-1.4)","0.08","0.78"
"G140690","-0.46","0.63 (0.12-3.2)","0.31","0.58"
"G132321","0.089","1.1 (0.18-6.6)","0.01","0.92"
"G84449","0.22","1.2 (0.075-21)","0.02","0.88"
"G201158","-0.6","0.55 (0.11-2.8)","0.53","0.47"
"G157506","0.22","1.2 (0.63-2.5)","0.4","0.53"
"G135295","-0.79","0.46 (0.14-1.5)","1.6","0.2"
"G149647","-0.3","0.74 (0.095-5.8)","0.08","0.77"
"G202309","-0.31","0.73 (0.37-1.4)","0.84","0.36"
"G80274","1.5","4.4 (0.74-26)","2.6","0.1"
"G150378","0.62","1.9 (0.26-13)","0.39","0.53"
"G203111","-0.14","0.87 (0.53-1.4)","0.29","0.59"
"G164127","-0.54","0.58 (0.077-4.4)","0.27","0.6"
"G150350","1.5","4.6 (0.32-66)","1.3","0.26"
"G81629","-0.092","0.91 (0.18-4.5)","0.01","0.91"
"G140870","0.85","2.3 (0.3-18)","0.66","0.42"
"G160364","0.54","1.7 (0.53-5.5)","0.81","0.37"
"G2972","0.95","2.6 (0.17-40)","0.46","0.5"
"G123591","1.2","3.4 (0.71-16)","2.4","0.13"
"G571","0.46","1.6 (0.1-24)","0.11","0.74"
"G100379661","1.3","3.5 (0.35-35)","1.1","0.29"
"G163688","-0.34","0.71 (0.1-4.8)","0.12","0.73"
"G126206","0.61","1.8 (0.15-22)","0.23","0.63"
"G146852","0.14","1.2 (0.023-59)","0","0.94"
"G165530","0.41","1.5 (0.19-12)","0.15","0.7"
"G245909","-0.45","0.64 (0.04-10)","0.1","0.75"
"G503841","-0.45","0.64 (0.04-10)","0.1","0.75"
"G259240","-0.25","0.78 (0.036-17)","0.02","0.88"
"G121441","0.76","2.1 (0.72-6.4)","1.9","0.17"
"G254173","1.1","3.1 (0.32-30)","0.97","0.33"
"G125972","-2.3","0.1 (0.01-1.1)","3.6","0.057"
"G220979","-0.34","0.72 (0.18-2.8)","0.23","0.63"
"G2117","0.61","1.8 (0.32-10)","0.47","0.49"
"G317719","-1.6","0.21 (0.011-3.8)","1.1","0.29"
"G80213","0.0032","1 (0.47-2.2)","0","0.99"
"G220992","-0.54","0.58 (0.2-1.7)","1","0.31"
"G116966","1.8","6.2 (1.3-30)","5.2","0.022"
"G162387","-1.2","0.29 (0.034-2.5)","1.2","0.26"
"G64072","-0.76","0.47 (0.028-7.9)","0.28","0.6"
"G100653137","-0.76","0.47 (0.028-7.9)","0.28","0.6"
"G150709","-7.2","0.00074 (9.1e-07-0.61)","4.4","0.035"
"G84465","0.42","1.5 (0.33-7)","0.28","0.59"
"G11318","-3.3","0.039 (0.00091-1.6)","2.9","0.088"
"G80712","0.25","1.3 (0.05-33)","0.02","0.88"
"G83656","3.1","22 (1.4-340)","4.7","0.029"
"G147199","-1.2","0.29 (0.045-1.9)","1.7","0.2"
"G653486","-1.2","0.29 (0.045-1.9)","1.7","0.2"
"G285126","-0.76","0.47 (0.053-4.1)","0.47","0.49"
"G126248","-2.8","0.062 (0.00097-4)","1.7","0.19"
"G158471","0.29","1.3 (0.63-2.8)","0.55","0.46"
"G125997","-0.18","0.83 (0.093-7.5)","0.03","0.87"
"G92949","-1.8","0.17 (0.0011-26)","0.47","0.49"
"G85509","-0.87","0.42 (0.027-6.6)","0.38","0.54"
"G169966","-2.2","0.11 (0.004-2.8)","1.8","0.18"
"G89778","0.39","1.5 (0.3-7.4)","0.23","0.63"
"G118421","0.85","2.3 (0.072-76)","0.23","0.63"
"G259234","-2.7","0.069 (0.003-1.6)","2.8","0.094"
"G83451","-0.29","0.75 (0.19-2.9)","0.18","0.67"
"G23527","-0.014","0.99 (0.24-4.1)","0","0.98"
"G2593","1","2.8 (0.92-8.4)","3.3","0.069"
"G113026","-0.3","0.74 (0.15-3.8)","0.13","0.72"
"G3664","1.3","3.8 (1.3-11)","5.9","0.015"
"G5788","-0.33","0.72 (0.3-1.7)","0.53","0.47"
"G10905","0.76","2.1 (0.43-10)","0.86","0.35"
"G65059","0.53","1.7 (0.9-3.2)","2.7","0.1"
"G140775","1.5","4.3 (0.19-99)","0.84","0.36"
"G114294","-0.016","0.98 (0.43-2.2)","0","0.97"
"G646","-0.26","0.77 (0.082-7.2)","0.05","0.82"
"G58538","-0.79","0.45 (0.019-11)","0.24","0.62"
"G246269","0.059","1.1 (0.016-69)","0","0.98"
"G91734","1.2","3.3 (0.36-29)","1.1","0.29"
"G1584","-4.1","0.017 (0.00028-0.99)","3.9","0.049"
"G129685","2.5","12 (0.91-160)","3.6","0.059"
"G23242","-0.65","0.52 (0.32-0.86)","6.6","0.01"
"G114836","-0.65","0.52 (0.18-1.5)","1.5","0.22"
"G7579","-0.66","0.52 (0.017-16)","0.14","0.71"
"G151306","0.9","2.5 (0.53-11)","1.3","0.25"
"G54933","-0.15","0.86 (0.38-1.9)","0.14","0.71"
"G80144","0.33","1.4 (0.31-6.2)","0.19","0.66"
"G84446","0.58","1.8 (0.88-3.6)","2.5","0.11"
"G286204","-1.3","0.27 (0.027-2.7)","1.3","0.26"
"G23704","-0.54","0.58 (0.3-1.1)","2.6","0.11"
"G146894","-1.2","0.29 (0.0026-34)","0.26","0.61"
"G142680","-2.4","0.093 (0.0031-2.8)","1.9","0.17"
"G57094","0.36","1.4 (0.32-6.3)","0.22","0.64"
"G164684","0.22","1.2 (0.3-5.2)","0.09","0.76"
"G204851","1.1","2.9 (1.1-7.6)","4.9","0.027"
"G27085","1.3","3.6 (1.2-11)","4.9","0.026"
"G130399","0.6","1.8 (1.1-3.1)","5","0.025"
"G157753","0.13","1.1 (0.34-3.8)","0.05","0.83"
"G201798","0.48","1.6 (0.041-64)","0.07","0.8"
"G116969","-1.8","0.17 (0.02-1.5)","2.5","0.11"
"G196472","-1","0.36 (0.043-3)","0.88","0.35"
"G84536","-1.7","0.17 (0.0069-4.4)","1.1","0.29"
"G204801","0.26","1.3 (0.75-2.2)","0.87","0.35"
"G245973","0.0082","1 (0.64-1.6)","0","0.97"
"G149461","0.22","1.2 (0.095-17)","0.03","0.87"
"G143187","-0.4","0.67 (0.07-6.4)","0.12","0.73"
"G221458","1.7","5.3 (0.15-190)","0.85","0.36"
"G115811","0.2","1.2 (0.39-3.8)","0.12","0.72"
"G117289","-1.1","0.34 (0.13-0.92)","4.5","0.034"
"G85439","0.7","2 (0.46-8.9)","0.87","0.35"
"G145264","0.75","2.1 (0.16-28)","0.33","0.57"
"G137994","-0.22","0.81 (0.31-2.1)","0.19","0.66"
"G7809","0.12","1.1 (0.09-14)","0.01","0.93"
"G170482","-0.82","0.44 (0.013-15)","0.21","0.65"
"G58484","0.47","1.6 (0.41-6.2)","0.47","0.49"
"G146547","-0.41","0.66 (0.1-4.2)","0.19","0.67"
"G158866","-0.41","0.67 (0.31-1.4)","1.1","0.3"
"G10743","1.2","3.4 (0.07-160)","0.38","0.54"
"G65061","1.7","5.4 (0.34-85)","1.4","0.23"
"G148268","-0.52","0.59 (0.15-2.4)","0.54","0.46"
"G119369","-1.7","0.19 (0.0088-3.9)","1.2","0.28"
"G118663","0.016","1 (0.25-4.2)","0","0.98"
"G83597","-2","0.13 (0.013-1.4)","2.9","0.09"
"G54084","0.012","1 (0.074-14)","0","0.99"
"G145282","0.42","1.5 (0.48-4.8)","0.51","0.47"
"G135398","0.62","1.9 (0.97-3.6)","3.5","0.061"
"G200420","-1.3","0.26 (0.022-3.1)","1.1","0.29"
"G140469","-0.26","0.77 (0.25-2.3)","0.21","0.65"
"G8747","-0.94","0.39 (0.067-2.3)","1.1","0.3"
"G205860","-0.36","0.7 (0.1-4.6)","0.14","0.71"
"G150000","-1.1","0.33 (0.042-2.5)","1.2","0.28"
"G3594","-0.069","0.93 (0.14-6.2)","0.01","0.94"
"G11036","-1.1","0.34 (0.013-9)","0.42","0.52"
"G162514","1.3","3.7 (0.4-35)","1.3","0.25"
"G168975","-1.1","0.34 (0.0047-24)","0.25","0.62"
"G94160","0.18","1.2 (0.072-20)","0.02","0.9"
"G118856","-2.4","0.09 (0.0027-3)","1.8","0.18"
"G147744","0.68","2 (0.74-5.3)","1.8","0.17"
"G246176","-0.43","0.65 (0.085-5)","0.17","0.68"
"G93107","-0.2","0.82 (0.13-5.3)","0.04","0.83"
"G222659","2","7.6 (0.36-160)","1.7","0.19"
"G27091","0.46","1.6 (0.14-18)","0.14","0.71"
"G54143","0.092","1.1 (0.04-30)","0","0.96"
"G286967","-2.2","0.11 (0.0081-1.5)","2.7","0.099"
"G100132967","-2.8","0.061 (0.0082-0.45)","7.5","0.006"
"G259239","-0.13","0.88 (0.12-6.3)","0.02","0.9"
"G282616","-1.6","0.21 (0.011-4)","1.1","0.3"
"G282617","-0.37","0.69 (0.053-9)","0.08","0.78"
"G3716","-1","0.35 (0.062-2)","1.4","0.24"
"G56990","0.15","1.2 (0.55-2.4)","0.16","0.69"
"G32","-0.51","0.6 (0.12-3)","0.39","0.53"
"G64326","1.5","4.4 (0.7-27)","2.5","0.11"
"G10228","0.62","1.9 (0.57-6.1)","1","0.31"
"G54443","0.094","1.1 (0.78-1.6)","0.29","0.59"
"G163778","-0.3","0.74 (0.11-5)","0.09","0.76"
"G5439","0.54","1.7 (0.5-5.8)","0.74","0.39"
"G246721","0.61","1.8 (0.52-6.5)","0.89","0.35"
"G548644","0.52","1.7 (0.57-5)","0.88","0.35"
"G100134938","0.52","1.7 (0.57-5)","0.88","0.35"
"G441259","1","2.9 (0.6-14)","1.7","0.19"
"G84941","-1.5","0.21 (0.059-0.78)","5.5","0.019"
"G51095","0.28","1.3 (0.42-4.1)","0.23","0.63"
"G81615","0.023","1 (0.65-1.6)","0.01","0.92"
"G394","0.15","1.2 (0.46-2.9)","0.1","0.75"
"G64224","-1.3","0.26 (0.055-1.3)","2.8","0.096"
"G23210","-0.65","0.52 (0.09-3)","0.54","0.46"
"G10847","1.7","5.5 (0.45-67)","1.8","0.18"
"G9064","0.92","2.5 (0.33-19)","0.8","0.37"
"G22901","-0.23","0.8 (0.21-3)","0.11","0.74"
"G94039","-0.99","0.37 (0.078-1.8)","1.6","0.21"
"G5781","1.2","3.2 (0.96-11)","3.6","0.059"
"G113730","-0.13","0.88 (0.45-1.7)","0.16","0.69"
"G55210","1.1","3.1 (0.82-11)","2.8","0.097"
"G83858","1.1","3.2 (0.71-14)","2.3","0.13"
"G199777","0.62","1.9 (0.67-5.1)","1.4","0.23"
"G80012","0.17","1.2 (0.19-7.3)","0.04","0.85"
"G3590","-0.15","0.86 (0.15-4.9)","0.03","0.87"
"G8797","-0.82","0.44 (0.18-1.1)","3.2","0.074"
"G117584","3","21 (1.1-380)","4.2","0.042"
"G100529207","1.8","6 (0.98-37)","3.8","0.052"
"G89781","-0.79","0.45 (0.085-2.4)","0.86","0.35"
"G127933","1.5","4.4 (1.5-13)","7.4","0.0066"
"G84203","0.68","2 (0.24-16)","0.4","0.53"
"G89795","-0.46","0.63 (0.062-6.4)","0.15","0.7"
"G55322","0.29","1.3 (0.63-2.8)","0.56","0.46"
"G56099","-0.17","0.84 (0.2-3.6)","0.05","0.82"
"G23085","-1.6","0.21 (0.041-1)","3.6","0.056"
"G201163","0.35","1.4 (0.21-9.5)","0.13","0.72"
"G84989","0.59","1.8 (0.53-6.2)","0.89","0.35"
"G57554","-1.2","0.3 (0.00012-750)","0.09","0.76"
"G10044","-0.58","0.56 (0.092-3.4)","0.4","0.53"
"G79660","-1.1","0.35 (0.11-1.1)","3.3","0.068"
"G84679","-0.65","0.52 (0.19-1.4)","1.6","0.2"
"G3321","-0.27","0.76 (0.11-5.2)","0.08","0.78"
"G222546","-0.15","0.86 (0.29-2.5)","0.07","0.79"
"G116093","1.6","5 (0.17-150)","0.86","0.35"
"G150353","-1.8","0.16 (0.0085-3.1)","1.5","0.23"
"G114131","0.11","1.1 (0.25-5)","0.02","0.89"
"G23181","1.6","4.8 (0.54-43)","2","0.16"
"G57646","-0.17","0.84 (0.32-2.2)","0.12","0.73"
"G57082","0.16","1.2 (0.41-3.4)","0.09","0.76"
"G123228","0.47","1.6 (0.55-4.6)","0.73","0.39"
"G29841","0.35","1.4 (0.8-2.5)","1.4","0.23"
"G140894","-0.34","0.71 (0.043-12)","0.06","0.81"
"G57524","0.66","1.9 (0.21-18)","0.35","0.56"
"G93589","0.42","1.5 (0.22-11)","0.18","0.67"
"G115761","-0.47","0.63 (0.1-3.8)","0.26","0.61"
"G114134","0.61","1.8 (0.8-4.2)","2.1","0.15"
"G123606","-0.051","0.95 (0.36-2.5)","0.01","0.92"
"G113691","0.58","1.8 (0.28-11)","0.37","0.54"
"G114769","-0.14","0.87 (0.41-1.8)","0.14","0.71"
"G834","-0.11","0.9 (0.51-1.6)","0.13","0.72"
"G142679","-0.051","0.95 (0.12-7.2)","0","0.96"
"G124637","0.75","2.1 (0.69-6.5)","1.7","0.19"
"G23057","0.46","1.6 (0.96-2.6)","3.2","0.072"
"G6521","0.44","1.6 (0.14-18)","0.13","0.72"
"G200407","-0.38","0.69 (0.044-11)","0.07","0.79"
"G59350","0.2","1.2 (0.3-5)","0.08","0.78"
"G79925","-1","0.36 (0.033-3.9)","0.69","0.4"
"G9859","0.79","2.2 (0.54-9)","1.2","0.27"
"G645455","0.79","2.2 (0.54-9)","1.2","0.27"
"G92675","1.3","3.5 (0.57-22)","1.8","0.17"
"G113201","-2.7","0.068 (0.0048-0.97)","3.9","0.048"
"G2246","0.0087","1 (0.24-4.2)","0","0.99"
"G10777","2.6","14 (0.0025-74000)","0.35","0.55"
"G158800","0.39","1.5 (0.74-2.9)","1.2","0.27"
"G170691","-0.46","0.63 (0.12-3.2)","0.31","0.58"
"G84973","0.16","1.2 (0.48-2.9)","0.12","0.73"
"G677804","0.16","1.2 (0.48-2.9)","0.12","0.73"
"G677824","0.24","1.3 (0.31-5.1)","0.11","0.74"
"G50846","-0.35","0.71 (0.053-9.4)","0.07","0.79"
"G137735","0.51","1.7 (0.13-22)","0.15","0.69"
"G122773","-1.6","0.19 (0.032-1.2)","3.2","0.075"
"G253260","0.79","2.2 (0.83-5.8)","2.5","0.11"
"G56111","-0.16","0.85 (0.31-2.3)","0.1","0.75"
"G81832","1.1","3 (1-8.7)","4","0.045"
"G11060","1.6","5.2 (1.1-24)","4.4","0.035"
"G54879","-0.62","0.54 (0.14-2.1)","0.82","0.37"
"G150590","-0.17","0.84 (0.36-2)","0.16","0.69"
"G131096","0.84","2.3 (1.1-5.1)","4.4","0.037"
"G23263","0.052","1.1 (0.12-9.5)","0","0.96"
"G133482","0.3","1.4 (0.62-2.9)","0.59","0.44"
"G151649","1.3","3.6 (0.054-240)","0.35","0.55"
"G147700","0.45","1.6 (0.35-7.1)","0.34","0.56"
"G117286","0.88","2.4 (0.28-20)","0.65","0.42"
"G253559","0.43","1.5 (0.063-38)","0.07","0.79"
"G157983","-0.63","0.53 (0.087-3.2)","0.47","0.49"
"G9734","-0.65","0.52 (0.12-2.2)","0.77","0.38"
"G162515","-1.4","0.25 (0.032-1.9)","1.8","0.18"
"G91147","0.03","1 (0.27-3.9)","0","0.97"
"G90161","0.085","1.1 (0.73-1.6)","0.18","0.67"
"G84254","1.1","2.9 (0.23-37)","0.67","0.41"
"G90589","1.7","5.6 (0.84-37)","3.2","0.076"
"G147837","1.5","4.4 (0.56-35)","2","0.16"
"G286826","3.2","26 (1.3-520)","4.4","0.035"
"G338339","-0.64","0.53 (0.12-2.3)","0.71","0.4"
"G9481","-0.56","0.57 (0.13-2.5)","0.56","0.45"
"G222545","2.5","13 (0.73-220)","3","0.081"
"G135250","-1.7","0.18 (0.029-1.2)","3.2","0.072"
"G204962","-0.1","0.9 (0.49-1.7)","0.1","0.75"
"G147687","-0.42","0.65 (0.23-1.8)","0.65","0.42"
"G163115","-2.8","0.059 (0.00048-7.2)","1.3","0.25"
"G92797","-1.6","0.2 (0.034-1.2)","3.2","0.072"
"G7095","0.2","1.2 (0.35-4.3)","0.1","0.76"
"G10345","-0.33","0.72 (0.041-13)","0.05","0.82"
"G122809","-0.072","0.93 (0.33-2.7)","0.02","0.89"
"G286122","0.56","1.7 (0.75-4.1)","1.7","0.2"
"G284306","-0.02","0.98 (0.087-11)","0","0.99"
"G6492","1.6","4.9 (0.22-110)","1","0.31"
"G150696","0.026","1 (0.22-4.8)","0","0.97"
"G7099","0.39","1.5 (0.56-3.9)","0.62","0.43"
"G203062","-0.16","0.85 (0.12-6)","0.03","0.87"
"G92291","-0.38","0.69 (0.39-1.2)","1.7","0.19"
"G3925","-0.35","0.71 (0.17-3)","0.22","0.64"
"G89790","0.11","1.1 (0.48-2.6)","0.07","0.79"
"G5992","2.3","10 (0.21-520)","1.4","0.24"
"G117166","0.39","1.5 (0.22-9.9)","0.16","0.69"
"G29843","0.49","1.6 (0.51-5.2)","0.69","0.41"
"G136259","-2.2","0.11 (0.0073-1.7)","2.4","0.12"
"G158046","-0.77","0.46 (0.038-5.8)","0.36","0.55"
"G680","0.64","1.9 (0.11-34)","0.19","0.66"
"G257103","0.14","1.2 (0.14-9.3)","0.02","0.89"
"G102723489","0.14","1.2 (0.14-9.3)","0.02","0.89"
"G102725097","0.14","1.2 (0.14-9.3)","0.02","0.89"
"G54495","-1.2","0.3 (0.088-1)","3.6","0.059"
"G252884","-0.027","0.97 (0.13-7.3)","0","0.98"
"G115111","1.6","5 (0.15-170)","0.8","0.37"
"G112574","-0.19","0.82 (0.21-3.3)","0.07","0.78"
"G162517","-2.2","0.11 (0.0038-3.2)","1.7","0.2"
"G192134","0.03","1 (0.61-1.7)","0.01","0.91"
"G163486","0.54","1.7 (0.58-5.1)","0.96","0.33"
"G285267","-0.34","0.71 (0.098-5.2)","0.11","0.74"
"G22858","2.9","18 (1.6-210)","5.5","0.019"
"G161142","-0.42","0.66 (0.053-8.1)","0.11","0.74"
"G79370","1.2","3.3 (0.094-120)","0.43","0.51"
"G266722","-0.37","0.69 (0.0073-66)","0.02","0.87"
"G10861","-0.44","0.65 (0.055-7.5)","0.12","0.73"
"G24146","0.24","1.3 (0.12-13)","0.04","0.85"
"G115273","-0.16","0.85 (0.39-1.9)","0.17","0.68"
"G139411","-0.011","0.99 (0.31-3.1)","0","0.98"
"G130951","-0.45","0.64 (0.0037-110)","0.03","0.86"
"G201516","1.4","3.9 (1.1-14)","4.3","0.039"
"G127731","0.15","1.2 (0.18-7.7)","0.02","0.88"
"G197196","-0.5","0.61 (0.053-6.9)","0.16","0.69"
"G3362","0.15","1.2 (0.14-10)","0.02","0.89"
"G158809","-2.4","0.093 (0.00062-14)","0.87","0.35"
"G162699","-0.07","0.93 (0.21-4.1)","0.01","0.93"
"G728929","-0.07","0.93 (0.21-4.1)","0.01","0.93"
"G100506888","-0.07","0.93 (0.21-4.1)","0.01","0.93"
"G101060464","-0.07","0.93 (0.21-4.1)","0.01","0.93"
"G101929858","-0.07","0.93 (0.21-4.1)","0.01","0.93"
"G101930165","-0.07","0.93 (0.21-4.1)","0.01","0.93"
"G101930171","-0.07","0.93 (0.21-4.1)","0.01","0.93"
"G284618","-0.73","0.48 (0.2-1.1)","2.8","0.098"
"G59285","-1.3","0.26 (0.019-3.5)","1","0.31"
"G160492","-0.11","0.89 (0.17-4.7)","0.02","0.89"
"G148046","-0.51","0.6 (0.036-9.8)","0.13","0.72"
"G126859","1.8","6 (0.21-170)","1.1","0.29"
"G80161","-0.47","0.62 (0.066-5.8)","0.17","0.68"
"G131450","0.054","1.1 (0.24-4.7)","0.01","0.94"
"G114042","0.43","1.5 (0.079-30)","0.08","0.78"
"G220202","0.69","2 (0.89-4.5)","2.8","0.095"
"G89866","0.13","1.1 (0.21-6.1)","0.02","0.88"
"G139285","-3.6","0.029 (0.0027-0.3)","8.7","0.0031"
"G157848","0.44","1.6 (0.23-10)","0.2","0.65"
"G219793","0.031","1 (0.14-7.5)","0","0.98"
"G90332","-0.72","0.49 (0.086-2.7)","0.67","0.41"
"G57010","-0.69","0.5 (0.11-2.4)","0.75","0.39"
"G115650","-1.1","0.35 (0.058-2.1)","1.4","0.25"
"G94032","0.7","2 (0.43-9.5)","0.78","0.38"
"G149992","3.1","22 (0.86-540)","3.5","0.061"
"G170850","-0.43","0.65 (0.18-2.4)","0.42","0.52"
"G154089","-0.076","0.93 (0.041-21)","0","0.96"
"G93986","0.48","1.6 (0.63-4.2)","0.99","0.32"
"G124872","-0.81","0.45 (0.087-2.3)","0.93","0.33"
"G158521","3.2","25 (0.61-1000)","2.9","0.089"
"G148823","1.1","3.1 (0.77-13)","2.5","0.11"
"G114132","-0.24","0.79 (0.11-5.9)","0.06","0.81"
"G149233","-1.2","0.29 (0.011-7.2)","0.58","0.45"
"G286514","-1.6","0.2 (0.0017-23)","0.45","0.5"
"G80381","0.34","1.4 (0.24-8.1)","0.15","0.7"
"G282618","-0.89","0.41 (0.037-4.5)","0.53","0.47"
"G132989","-0.88","0.41 (0.091-1.9)","1.3","0.25"
"G63979","0.31","1.4 (0.7-2.7)","0.83","0.36"
"G22999","0.82","2.3 (0.54-9.6)","1.2","0.26"
"G57605","0.21","1.2 (0.25-6.1)","0.07","0.79"
"G57575","0.21","1.2 (0.031-48)","0.01","0.91"
"G257397","-0.076","0.93 (0.24-3.6)","0.01","0.91"
"G131890","-0.88","0.42 (0.017-10)","0.29","0.59"
"G79258","0.44","1.5 (0.71-3.4)","1.2","0.27"
"G5151","-0.46","0.63 (0.16-2.5)","0.44","0.51"
"G171389","-1.3","0.27 (0.027-2.7)","1.2","0.27"
"G254268","0.18","1.2 (0.045-32)","0.01","0.91"
"G203430","1.5","4.3 (0.33-58)","1.2","0.27"
"G11277","0.086","1.1 (0.19-6.4)","0.01","0.92"
"G84126","0.086","1.1 (0.19-6.4)","0.01","0.92"
"G85416","0.26","1.3 (0.37-4.6)","0.16","0.69"
"G284","-0.27","0.76 (0.3-2)","0.32","0.57"
"G127670","1.9","6.9 (0.2-230)","1.2","0.28"
"G149373","-1.4","0.24 (0.026-2.3)","1.5","0.22"
"G2565","1.5","4.4 (1.2-16)","4.9","0.026"
"G56666","0.39","1.5 (0.13-16)","0.1","0.75"
"G163071","0.29","1.3 (0.81-2.2)","1.3","0.26"
"G148870","-1.6","0.21 (0.015-2.9)","1.4","0.24"
"G161502","2.7","15 (1.2-180)","4.5","0.033"
"G159162","1.8","5.9 (0.9-38)","3.4","0.064"
"G100652931","1.8","5.9 (0.9-38)","3.4","0.064"
"G4761","2.4","11 (0.26-450)","1.6","0.21"
"G439936","0.41","1.5 (1-2.2)","4.6","0.032"
"G83655","-0.82","0.44 (0.052-3.7)","0.57","0.45"
"G1768","2.2","9.3 (0.18-480)","1.2","0.27"
"G131578","-0.57","0.57 (0.21-1.5)","1.3","0.26"
"G54777","-1.6","0.21 (0.0065-6.8)","0.77","0.38"
"G93010","0.39","1.5 (0.65-3.4)","0.86","0.35"
"G158506","-1.2","0.31 (0.026-3.8)","0.84","0.36"
"G9204","0.3","1.3 (0.21-8.6)","0.1","0.75"
"G137868","2.4","11 (0.31-410)","1.7","0.19"
"G100507431","-1.7","0.18 (0.0098-3.4)","1.3","0.25"
"G7484","-0.061","0.94 (0.17-5.2)","0","0.94"
