"","beta","HR (95% CI for HR)","wald.test","p.value"
"G780","0.082","1.1 (0.59-2)","0.07","0.79"
"G100616237","0.082","1.1 (0.59-2)","0.07","0.79"
"G5982","0.42","1.5 (0.76-3)","1.4","0.24"
"G3310","0.1","1.1 (0.82-1.5)","0.45","0.5"
"G7849","-0.0082","0.99 (0.25-3.9)","0","0.99"
"G2978","1.5","4.6 (1.2-18)","5","0.025"
"G7318","-0.18","0.83 (0.37-1.9)","0.19","0.66"
"G100847079","-0.18","0.83 (0.37-1.9)","0.19","0.66"
"G7067","0.14","1.2 (0.24-5.6)","0.03","0.86"
"G11099","-0.19","0.82 (0.15-4.6)","0.05","0.83"
"G6352","0.13","1.1 (0.78-1.7)","0.45","0.5"
"G1571","-0.66","0.52 (0.18-1.4)","1.6","0.21"
"G2049","0.28","1.3 (0.82-2.1)","1.4","0.25"
"G2101","-0.26","0.77 (0.22-2.7)","0.17","0.68"
"G1548","-0.51","0.6 (0.15-2.5)","0.5","0.48"
"G949","0.31","1.4 (0.41-4.6)","0.26","0.61"
"G23170","0.16","1.2 (0.61-2.3)","0.22","0.64"
"G112597","0.59","1.8 (0.54-6)","0.93","0.34"
"G101930489","0.59","1.8 (0.54-6)","0.93","0.34"
"G10406","-0.5","0.61 (0.35-1.1)","3.1","0.078"
"G5594","-0.11","0.89 (0.24-3.3)","0.03","0.87"
"G203102","3","19 (0.68-540)","3","0.083"
"G128153","-0.79","0.45 (0.16-1.3)","2.1","0.15"
"G163154","-0.25","0.78 (0.15-4)","0.09","0.76"
"G54899","-0.34","0.71 (0.21-2.4)","0.29","0.59"
"G57617","1.7","5.5 (1-30)","3.9","0.048"
"G91283","0.53","1.7 (0.71-4.1)","1.4","0.23"
"G113235","-0.64","0.53 (0.18-1.6)","1.3","0.26"
"G91937","0.022","1 (0.5-2.1)","0","0.95"
"G283375","0.61","1.8 (0.41-8.3)","0.64","0.42"
"G79844","-0.56","0.57 (0.36-0.91)","5.6","0.018"
"G653082","-0.46","0.63 (0.44-0.92)","5.7","0.017"
"G90423","-0.4","0.67 (0.24-1.9)","0.56","0.45"
"G172","-0.45","0.64 (0.13-3.1)","0.32","0.57"
"G148113","0.35","1.4 (1-2)","4.6","0.032"
"G54965","0.1","1.1 (0.59-2.1)","0.1","0.75"
"G256130","0.62","1.9 (0.14-24)","0.22","0.64"
"G91252","0.81","2.3 (0.6-8.5)","1.4","0.23"
"G266675","0.24","1.3 (0.4-4)","0.16","0.69"
"G221264","-0.83","0.44 (0.088-2.2)","1","0.31"
"G84940","0.39","1.5 (0.36-6.1)","0.29","0.59"
"G113277","1.1","3 (0.58-16)","1.7","0.19"
"G84920","-0.91","0.4 (0.11-1.5)","1.9","0.17"
"G125488","-0.25","0.78 (0.38-1.6)","0.48","0.49"
"G91624","-0.14","0.87 (0.55-1.4)","0.39","0.53"
"G123207","-2.3","0.096 (0.023-0.41)","10","0.0016"
"G84839","0.42","1.5 (0.22-11)","0.18","0.67"
"G4238","0.35","1.4 (0.33-6.1)","0.23","0.63"
"G2140","-0.93","0.4 (0.026-6.1)","0.44","0.51"
"G170575","0.014","1 (0.53-1.9)","0","0.97"
"G11202","-0.15","0.86 (0.37-2)","0.11","0.74"
"G85478","-0.91","0.4 (0.063-2.6)","0.91","0.34"
"G159091","-1.1","0.32 (0.014-7.4)","0.51","0.48"
"G220136","-2","0.14 (0.018-1.1)","3.4","0.064"
"G100131755","-0.68","0.51 (0.031-8.3)","0.23","0.63"
"G5930","-3.1","0.047 (0.0094-0.24)","14","0.00021"
"G92806","-0.15","0.86 (0.26-2.8)","0.06","0.81"
"G11078","0.58","1.8 (0.64-5)","1.2","0.27"
"G117144","0.46","1.6 (0.78-3.3)","1.6","0.21"
"G3233","-0.48","0.62 (0.18-2.1)","0.59","0.44"
"G145258","-0.62","0.54 (0.11-2.5)","0.62","0.43"
"G121340","0.28","1.3 (0.24-7.2)","0.1","0.75"
"G5150","-0.31","0.73 (0.12-4.6)","0.11","0.74"
"G29883","0.35","1.4 (0.61-3.3)","0.65","0.42"
"G9946","0.068","1.1 (0.3-3.8)","0.01","0.92"
"G260429","0.52","1.7 (0.49-5.8)","0.68","0.41"
"G255057","0.66","1.9 (0.26-15)","0.41","0.52"
"G157777","-0.54","0.59 (0.014-24)","0.08","0.78"
"G114609","0.084","1.1 (0.2-5.9)","0.01","0.92"
"G116842","-0.87","0.42 (0.14-1.3)","2.4","0.12"
"G124540","0.29","1.3 (0.57-3.1)","0.46","0.5"
"G85477","0.089","1.1 (0.74-1.6)","0.21","0.65"
"G140690","-0.36","0.7 (0.074-6.7)","0.1","0.76"
"G132321","-2.4","0.086 (0.0053-1.4)","3","0.086"
"G84449","2.9","17 (0.7-430)","3","0.082"
"G201158","-0.57","0.57 (0.096-3.3)","0.39","0.53"
"G157506","-0.22","0.8 (0.44-1.5)","0.54","0.46"
"G135295","-0.45","0.64 (0.12-3.3)","0.28","0.59"
"G149647","0.29","1.3 (0.17-10)","0.08","0.78"
"G202309","-0.57","0.57 (0.16-2)","0.76","0.38"
"G80274","-0.56","0.57 (0.06-5.4)","0.24","0.63"
"G150378","-0.63","0.53 (0.13-2.1)","0.81","0.37"
"G203111","0.06","1.1 (0.64-1.8)","0.05","0.82"
"G164127","-0.55","0.58 (0.069-4.8)","0.26","0.61"
"G150350","1.7","5.4 (0.11-260)","0.73","0.39"
"G81629","0.58","1.8 (0.37-8.6)","0.53","0.47"
"G140870","0.55","1.7 (0.29-11)","0.36","0.55"
"G160364","-1.3","0.28 (0.037-2.1)","1.6","0.21"
"G2972","0.5","1.6 (0.25-11)","0.27","0.6"
"G123591","-0.044","0.96 (0.3-3)","0.01","0.94"
"G571","0.69","2 (0.14-28)","0.26","0.61"
"G100379661","0.46","1.6 (0.03-83)","0.05","0.82"
"G163688","-2.2","0.11 (0.009-1.3)","3.1","0.079"
"G126206","0.49","1.6 (0.29-9.4)","0.31","0.58"
"G146852","0.39","1.5 (0.13-17)","0.09","0.76"
"G165530","1.2","3.2 (0.65-16)","2.1","0.15"
"G245909","2.3","9.9 (2-50)","7.8","0.0052"
"G503841","2.3","9.9 (2-50)","7.8","0.0052"
"G259240","0.77","2.2 (0.1-47)","0.24","0.62"
"G121441","-0.43","0.65 (0.3-1.4)","1.2","0.27"
"G254173","0.05","1.1 (0.2-5.4)","0","0.95"
"G125972","-0.85","0.43 (0.054-3.4)","0.65","0.42"
"G220979","-0.37","0.69 (0.2-2.3)","0.35","0.55"
"G2117","-0.8","0.45 (0.066-3)","0.68","0.41"
"G317719","1","2.8 (0.22-34)","0.62","0.43"
"G80213","-0.45","0.64 (0.29-1.4)","1.3","0.26"
"G220992","-1.3","0.27 (0.041-1.7)","1.9","0.17"
"G116966","-1.4","0.25 (0.028-2.2)","1.6","0.21"
"G162387","-0.025","0.98 (0.32-3)","0","0.97"
"G64072","0.7","2 (0.34-12)","0.59","0.44"
"G100653137","0.7","2 (0.34-12)","0.59","0.44"
"G150709","-1.3","0.28 (0.0088-8.6)","0.54","0.46"
"G84465","-0.34","0.71 (0.23-2.3)","0.33","0.56"
"G11318","0.31","1.4 (0.29-6.5)","0.16","0.69"
"G80712","-0.27","0.77 (0.07-8.4)","0.05","0.83"
"G83656","0.24","1.3 (0.54-3)","0.3","0.59"
"G147199","0.0071","1 (0.58-1.7)","0","0.98"
"G653486","0.0071","1 (0.58-1.7)","0","0.98"
"G285126","1.9","6.5 (1.6-27)","6.6","0.01"
"G126248","1.2","3.2 (0.12-81)","0.49","0.49"
"G158471","-0.16","0.85 (0.45-1.6)","0.25","0.61"
"G125997","0.45","1.6 (0.31-8)","0.29","0.59"
"G92949","1.2","3.3 (0.43-24)","1.3","0.25"
"G85509","-0.65","0.52 (0.032-8.5)","0.21","0.65"
