"","beta","HR (95% CI for HR)","wald.test","p.value"
"G169966","0.19","1.2 (0.092-16)","0.02","0.89"
"G89778","0.35","1.4 (0.61-3.3)","0.65","0.42"
"G118421","2.6","14 (0.14-1400)","1.2","0.26"
"G259234","0.76","2.1 (0.39-12)","0.75","0.39"
"G83451","0.023","1 (0.34-3)","0","0.97"
"G23527","-0.31","0.73 (0.29-1.9)","0.43","0.51"
"G2593","0.55","1.7 (0.66-4.6)","1.2","0.27"
"G113026","1.1","2.9 (0.77-11)","2.5","0.12"
"G3664","0.12","1.1 (0.6-2.1)","0.14","0.71"
"G5788","-0.19","0.83 (0.46-1.5)","0.41","0.52"
"G10905","-1.7","0.19 (0.047-0.77)","5.4","0.02"
"G65059","-0.32","0.72 (0.41-1.3)","1.3","0.25"
"G140775","0.61","1.8 (0.32-11)","0.46","0.5"
"G114294","0.009","1 (0.51-2)","0","0.98"
"G646","0.13","1.1 (0.71-1.8)","0.29","0.59"
"G58538","1.5","4.7 (0.061-360)","0.48","0.49"
"G246269","1.6","4.9 (0.16-150)","0.83","0.36"
"G91734","-2","0.13 (0.017-1.1)","3.6","0.056"
"G1584","0.61","1.8 (0.1-33)","0.17","0.68"
"G129685","-0.39","0.67 (0.17-2.8)","0.3","0.58"
"G23242","0.063","1.1 (0.66-1.7)","0.07","0.8"
"G114836","0.32","1.4 (0.57-3.3)","0.51","0.48"
"G7579","1.8","6.2 (0.7-55)","2.7","0.1"
"G151306","-0.067","0.93 (0.25-3.4)","0.01","0.92"
"G54933","-0.26","0.77 (0.44-1.4)","0.8","0.37"
"G80144","0.026","1 (0.36-3)","0","0.96"
"G84446","0.82","2.3 (0.75-6.8)","2.1","0.14"
"G286204","-2","0.14 (0.014-1.4)","2.8","0.091"
"G23704","0.069","1.1 (0.75-1.5)","0.15","0.7"
"G146894","-0.44","0.64 (0.068-6.1)","0.15","0.7"
"G142680","0.51","1.7 (0.28-10)","0.31","0.58"
"G57094","0.59","1.8 (0.59-5.6)","1.1","0.3"
"G164684","0.58","1.8 (0.66-4.9)","1.3","0.26"
"G204851","1.1","2.9 (0.46-18)","1.3","0.26"
"G27085","0.62","1.9 (0.25-14)","0.36","0.55"
"G130399","0.19","1.2 (0.25-5.9)","0.06","0.81"
"G157753","0.082","1.1 (0.44-2.7)","0.03","0.86"
"G201798","-2.7","0.068 (7e-04-6.6)","1.3","0.25"
"G116969","0.28","1.3 (0.28-6.3)","0.13","0.72"
"G196472","0.82","2.3 (0.33-16)","0.69","0.41"
"G84536","1.2","3.4 (0.41-29)","1.3","0.26"
"G204801","0.27","1.3 (0.72-2.4)","0.75","0.39"
"G245973","-0.46","0.63 (0.32-1.2)","1.8","0.17"
"G149461","0.33","1.4 (0.24-8.1)","0.13","0.72"
"G143187","0.28","1.3 (0.097-18)","0.04","0.83"
"G221458","-1.2","0.31 (0.018-5.4)","0.65","0.42"
"G115811","-0.47","0.63 (0.23-1.7)","0.84","0.36"
"G117289","0.18","1.2 (0.54-2.6)","0.2","0.66"
"G85439","0.19","1.2 (0.51-2.9)","0.19","0.67"
"G145264","0.62","1.9 (0.15-23)","0.24","0.63"
"G137994","0.64","1.9 (0.74-4.9)","1.8","0.18"
"G7809","0.97","2.6 (0.37-19)","0.95","0.33"
"G170482","0.23","1.3 (0.11-14)","0.03","0.85"
"G58484","0.46","1.6 (0.38-6.7)","0.39","0.53"
"G146547","-0.38","0.68 (0.15-3.2)","0.23","0.63"
"G158866","-0.86","0.42 (0.11-1.7)","1.5","0.22"
"G10743","1.5","4.4 (0.71-27)","2.5","0.11"
"G65061","1.6","5.2 (0.3-88)","1.3","0.26"
"G148268","-0.32","0.73 (0.15-3.5)","0.16","0.69"
"G119369","1.4","4.3 (0.44-41)","1.6","0.21"
"G118663","-0.0048","1 (0.26-3.8)","0","0.99"
"G83597","0.75","2.1 (0.3-15)","0.56","0.45"
"G54084","1.3","3.6 (0.28-46)","0.99","0.32"
"G145282","0.16","1.2 (0.14-9.7)","0.02","0.88"
"G135398","-0.41","0.66 (0.31-1.4)","1.2","0.28"
"G200420","0.45","1.6 (0.2-12)","0.18","0.67"
"G140469","0.031","1 (0.38-2.8)","0","0.95"
"G8747","2.9","18 (2.2-150)","7.2","0.0074"
"G205860","-0.76","0.47 (0.077-2.8)","0.7","0.4"
"G150000","0.26","1.3 (0.04-42)","0.02","0.88"
"G3594","0.42","1.5 (0.51-4.6)","0.57","0.45"
"G11036","-0.57","0.56 (0.01-31)","0.08","0.78"
"G162514","3.1","22 (1.4-320)","4.9","0.026"
"G168975","-0.01","0.99 (0.016-63)","0","1"
"G94160","0.31","1.4 (0.058-33)","0.04","0.85"
"G118856","0.27","1.3 (0.092-19)","0.04","0.84"
"G147744","0.025","1 (0.69-1.5)","0.02","0.9"
"G246176","0.2","1.2 (0.21-7.1)","0.05","0.82"
"G93107","1.3","3.7 (0.79-17)","2.8","0.096"
"G222659","0.3","1.4 (0.12-16)","0.06","0.81"
"G27091","-0.4","0.67 (0.065-7)","0.11","0.74"
"G54143","0.6","1.8 (0.14-24)","0.21","0.65"
"G286967","-1.8","0.17 (0.017-1.7)","2.3","0.13"
"G100132967","-1.5","0.23 (0.044-1.2)","3.1","0.078"
"G259239","1.2","3.2 (0.3-35)","0.93","0.34"
"G282616","-0.11","0.89 (0.12-6.5)","0.01","0.91"
"G282617","-0.49","0.61 (0.046-8.1)","0.14","0.71"
"G3716","0.33","1.4 (0.64-3.1)","0.69","0.4"
"G56990","-0.22","0.8 (0.39-1.7)","0.36","0.55"
"G32","-0.13","0.88 (0.28-2.8)","0.05","0.83"
"G64326","-0.39","0.67 (0.3-1.5)","0.92","0.34"
"G10228","-0.64","0.53 (0.15-1.8)","1","0.31"
"G54443","0.072","1.1 (0.76-1.5)","0.17","0.68"
"G163778","0.67","2 (0.63-6)","1.4","0.24"
"G5439","0.54","1.7 (0.68-4.3)","1.3","0.25"
"G246721","0.59","1.8 (0.72-4.6)","1.6","0.21"
"G548644","0.6","1.8 (0.81-4.1)","2.1","0.15"
"G100134938","0.6","1.8 (0.81-4.1)","2.1","0.15"
"G441259","0.94","2.6 (0.91-7.2)","3.2","0.074"
"G84941","-0.12","0.89 (0.46-1.7)","0.13","0.72"
"G51095","-0.4","0.67 (0.25-1.8)","0.63","0.43"
"G81615","-0.25","0.78 (0.59-1)","3.1","0.077"
"G394","-0.19","0.83 (0.48-1.4)","0.47","0.49"
"G64224","0.43","1.5 (0.45-5.3)","0.47","0.49"
"G23210","-1.7","0.19 (0.033-1.1)","3.4","0.063"
"G10847","-0.87","0.42 (0.08-2.2)","1.1","0.3"
"G9064","-1.5","0.23 (0.05-1)","3.8","0.05"
"G22901","-0.37","0.69 (0.17-2.8)","0.26","0.61"
"G94039","0.35","1.4 (0.43-4.6)","0.33","0.57"
"G5781","-1.2","0.31 (0.053-1.9)","1.6","0.2"
"G113730","0.18","1.2 (0.73-2)","0.51","0.48"
"G55210","-0.016","0.98 (0.32-3)","0","0.98"
"G83858","-0.19","0.82 (0.21-3.2)","0.08","0.78"
"G199777","-0.32","0.73 (0.22-2.4)","0.26","0.61"
"G80012","0.19","1.2 (0.37-3.9)","0.1","0.75"
"G3590","-0.26","0.77 (0.28-2.2)","0.24","0.62"
"G8797","0.21","1.2 (0.61-2.5)","0.33","0.56"
"G117584","1.3","3.6 (0.3-42)","1","0.31"
"G100529207","0.15","1.2 (0.18-7.6)","0.02","0.88"
"G89781","-1.5","0.21 (0.037-1.2)","2.9","0.086"
"G127933","0.062","1.1 (0.43-2.6)","0.02","0.89"
"G84203","-0.27","0.77 (0.16-3.7)","0.11","0.74"
"G89795","0.35","1.4 (0.21-9.5)","0.13","0.72"
"G55322","-0.13","0.88 (0.2-3.8)","0.03","0.86"
"G56099","1.5","4.3 (1.4-13)","6.2","0.013"
"G23085","1.9","6.5 (1.4-30)","5.8","0.016"
"G201163","-0.14","0.87 (0.15-4.9)","0.03","0.87"
"G84989","-0.12","0.88 (0.54-1.4)","0.25","0.62"
"G57554","4.8","120 (0.088-170000)","1.7","0.19"
"G10044","-0.0025","1 (0.37-2.7)","0","1"
"G79660","0.18","1.2 (0.46-3.2)","0.14","0.71"
"G84679","-0.7","0.5 (0.18-1.4)","1.7","0.19"
"G3321","-0.71","0.49 (0.13-1.9)","1","0.31"
"G222546","-0.23","0.8 (0.15-4.3)","0.07","0.79"
"G116093","-1.2","0.29 (0.0071-12)","0.41","0.52"
"G150353","-0.58","0.56 (0.022-14)","0.12","0.73"
"G114131","-0.4","0.67 (0.19-2.4)","0.39","0.53"
"G23181","1.2","3.3 (0.38-28)","1.2","0.28"
"G57646","-0.48","0.62 (0.2-2)","0.65","0.42"
"G57082","0.47","1.6 (0.55-4.7)","0.73","0.39"
"G123228","-0.74","0.48 (0.12-1.8)","1.1","0.28"
"G29841","-0.2","0.82 (0.51-1.3)","0.71","0.4"
"G140894","1.3","3.6 (0.14-97)","0.59","0.44"
"G57524","0.084","1.1 (0.22-5.4)","0.01","0.92"
"G93589","-0.78","0.46 (0.099-2.1)","1","0.32"
"G115761","-0.079","0.92 (0.3-2.9)","0.02","0.89"
"G114134","-1.1","0.32 (0.072-1.4)","2.2","0.13"
"G123606","-0.72","0.49 (0.15-1.6)","1.5","0.23"
"G113691","-0.7","0.5 (0.11-2.3)","0.78","0.38"
"G114769","-0.46","0.63 (0.34-1.2)","2","0.15"
"G834","-0.23","0.79 (0.48-1.3)","0.79","0.37"
"G142679","-1.4","0.24 (0.0059-9.9)","0.56","0.45"
"G124637","-1.5","0.23 (0.086-0.62)","8.6","0.0034"
"G23057","0.17","1.2 (0.77-1.8)","0.61","0.44"
"G6521","0.5","1.7 (0.19-14)","0.21","0.65"
"G200407","0.71","2 (0.15-27)","0.29","0.59"
"G59350","-3.1","0.047 (0.00065-3.5)","1.9","0.16"
"G79925","-4.4","0.012 (0.00046-0.32)","7","0.0083"
"G9859","-0.028","0.97 (0.41-2.3)","0","0.95"
"G645455","-0.028","0.97 (0.41-2.3)","0","0.95"
"G92675","0.45","1.6 (0.45-5.4)","0.5","0.48"
"G113201","-0.52","0.59 (0.17-2)","0.69","0.41"
"G2246","0.42","1.5 (0.5-4.6)","0.54","0.46"
"G10777","-6.7","0.0013 (1.2e-06-1.3)","3.5","0.06"
"G158800","0.0019","1 (0.49-2)","0","1"
"G170691","0.11","1.1 (0.34-3.6)","0.03","0.85"
"G84973","-0.27","0.76 (0.28-2)","0.3","0.58"
"G677804","-0.27","0.76 (0.28-2)","0.3","0.58"
"G677824","-0.38","0.68 (0.19-2.5)","0.34","0.56"
"G50846","-0.63","0.53 (0.072-4)","0.38","0.54"
"G137735","-0.43","0.65 (0.017-25)","0.05","0.82"
"G122773","-0.87","0.42 (0.091-1.9)","1.2","0.26"
"G253260","-0.48","0.62 (0.32-1.2)","2","0.16"
"G56111","1.3","3.8 (1.7-8.2)","11","0.00083"
"G81832","0.7","2 (0.62-6.5)","1.4","0.24"
"G11060","0.0017","1 (0.2-4.9)","0","1"
"G54879","-0.73","0.48 (0.064-3.6)","0.5","0.48"
"G150590","-0.37","0.69 (0.22-2.1)","0.41","0.52"
"G131096","0.73","2.1 (0.71-6)","1.8","0.18"
"G23263","0.36","1.4 (0.25-8.2)","0.17","0.68"
"G133482","-0.76","0.47 (0.036-6.2)","0.33","0.57"
"G151649","2","7.5 (0.25-220)","1.4","0.24"
"G147700","0.18","1.2 (0.44-3.2)","0.12","0.73"
"G117286","0.35","1.4 (0.14-15)","0.08","0.77"
"G253559","0.36","1.4 (0.15-14)","0.1","0.75"
"G157983","0.26","1.3 (0.27-6.2)","0.1","0.75"
"G9734","0.052","1.1 (0.31-3.5)","0.01","0.93"
"G162515","-0.1","0.9 (0.19-4.4)","0.02","0.9"
"G91147","-0.33","0.72 (0.096-5.4)","0.1","0.75"
"G90161","-0.2","0.82 (0.61-1.1)","1.8","0.18"
"G84254","-0.54","0.58 (0.073-4.6)","0.26","0.61"
"G90589","0.73","2.1 (0.34-13)","0.63","0.43"
"G147837","0.68","2 (0.48-8.1)","0.88","0.35"
"G286826","-0.9","0.41 (0.026-6.3)","0.41","0.52"
"G338339","-0.76","0.47 (0.07-3.1)","0.61","0.43"
"G9481","-2.6","0.075 (0.0047-1.2)","3.4","0.066"
"G222545","0.52","1.7 (0.33-8.6)","0.39","0.53"
"G135250","0.034","1 (0.22-4.9)","0","0.97"
"G204962","-0.89","0.41 (0.15-1.1)","3","0.084"
"G147687","0.31","1.4 (0.42-4.5)","0.27","0.61"
"G163115","-2.1","0.12 (0.002-7.3)","1","0.31"
"G92797","0.72","2 (0.81-5.2)","2.3","0.13"
"G7095","-0.51","0.6 (0.35-1)","3.3","0.069"
"G10345","-0.87","0.42 (0.0043-40)","0.14","0.71"
"G122809","-0.42","0.66 (0.25-1.7)","0.7","0.4"
"G286122","0.34","1.4 (0.72-2.8)","0.99","0.32"
"G284306","-0.39","0.68 (0.048-9.6)","0.08","0.77"
"G6492","1.5","4.4 (0.22-89)","0.95","0.33"
"G150696","-0.58","0.56 (0.21-1.5)","1.3","0.25"
"G7099","-0.32","0.73 (0.27-1.9)","0.41","0.52"
"G203062","-1.1","0.34 (0.054-2.1)","1.4","0.24"
"G92291","0.21","1.2 (0.76-2)","0.71","0.4"
"G3925","1.2","3.3 (1-10)","4.2","0.041"
"G89790","0.2","1.2 (0.78-1.9)","0.76","0.38"
"G5992","-2.6","0.072 (0.00081-6.4)","1.3","0.25"
"G117166","0.97","2.6 (0.52-13)","1.4","0.24"
"G29843","-0.24","0.79 (0.18-3.4)","0.1","0.75"
"G136259","0.63","1.9 (0.36-9.9)","0.56","0.45"
"G158046","-1.6","0.2 (0.0086-4.8)","0.97","0.32"
"G680","-0.61","0.54 (0.026-11)","0.16","0.69"
"G257103","2","7.5 (0.85-67)","3.3","0.07"
"G102723489","2","7.5 (0.85-67)","3.3","0.07"
"G102725097","2","7.5 (0.85-67)","3.3","0.07"
"G54495","-0.52","0.6 (0.25-1.4)","1.3","0.25"
"G252884","-3.4","0.032 (0.00077-1.3)","3.3","0.071"
"G115111","0.69","2 (0.031-130)","0.1","0.75"
"G112574","0.2","1.2 (0.35-4.2)","0.1","0.76"
"G162517","-0.89","0.41 (0.036-4.6)","0.52","0.47"
"G192134","0.21","1.2 (0.83-1.8)","1","0.31"
"G163486","-0.57","0.56 (0.28-1.1)","2.5","0.11"
"G285267","0.66","1.9 (0.52-7.1)","0.97","0.32"
"G22858","-0.75","0.47 (0.1-2.2)","0.9","0.34"
"G161142","1.9","6.9 (1.4-34)","5.5","0.019"
"G79370","-0.8","0.45 (0.015-13)","0.22","0.64"
"G266722","0.52","1.7 (0.46-6.1)","0.61","0.43"
"G10861","-0.17","0.84 (0.051-14)","0.01","0.9"
"G24146","-0.34","0.71 (0.15-3.5)","0.17","0.68"
"G115273","0.68","2 (0.96-4.1)","3.4","0.066"
"G139411","0.17","1.2 (0.66-2.1)","0.34","0.56"
"G130951","-1.6","0.2 (0.0043-9.3)","0.68","0.41"
"G201516","-0.96","0.38 (0.037-3.9)","0.65","0.42"
"G127731","1.6","4.9 (0.41-59)","1.6","0.21"
"G197196","-0.25","0.78 (0.038-16)","0.03","0.87"
"G3362","0.42","1.5 (0.18-13)","0.15","0.7"
"G158809","-3.2","0.042 (0.00076-2.3)","2.4","0.12"
"G162699","0.81","2.3 (0.34-15)","0.71","0.4"
"G728929","0.81","2.3 (0.34-15)","0.71","0.4"
"G100506888","0.81","2.3 (0.34-15)","0.71","0.4"
"G101060464","0.81","2.3 (0.34-15)","0.71","0.4"
"G101929858","0.81","2.3 (0.34-15)","0.71","0.4"
"G101930165","0.81","2.3 (0.34-15)","0.71","0.4"
"G101930171","0.81","2.3 (0.34-15)","0.71","0.4"
"G284618","0.042","1 (0.44-2.5)","0.01","0.92"
"G59285","1.1","2.9 (0.56-15)","1.6","0.2"
"G160492","1.1","3 (0.86-10)","3","0.084"
"G148046","0.025","1 (0.2-5.3)","0","0.98"
"G126859","0.049","1 (0.019-59)","0","0.98"
"G80161","0.82","2.3 (0.23-22)","0.5","0.48"
"G131450","-0.82","0.44 (0.024-8.1)","0.31","0.58"
"G114042","3","20 (0.63-640)","2.9","0.09"
"G220202","0.95","2.6 (0.19-36)","0.5","0.48"
"G89866","-0.0066","0.99 (0.098-10)","0","1"
"G139285","0.22","1.3 (0.36-4.3)","0.13","0.72"
"G157848","0.24","1.3 (0.25-6.6)","0.08","0.77"
"G219793","0.58","1.8 (0.25-13)","0.34","0.56"
"G90332","0.96","2.6 (0.75-9)","2.3","0.13"
"G57010","-0.087","0.92 (0.26-3.2)","0.02","0.89"
"G115650","0.92","2.5 (0.69-9)","2","0.16"
"G94032","1.2","3.4 (0.91-12)","3.3","0.068"
"G149992","-0.6","0.55 (0.036-8.4)","0.18","0.67"
"G170850","-0.6","0.55 (0.11-2.8)","0.52","0.47"
"G154089","-1.4","0.24 (0.014-4.3)","0.93","0.33"
"G93986","0.15","1.2 (0.24-5.7)","0.04","0.85"
"G124872","-0.17","0.85 (0.2-3.6)","0.05","0.82"
"G158521","-0.37","0.69 (0.15-3.1)","0.23","0.63"
"G148823","-0.6","0.55 (0.048-6.3)","0.23","0.63"
"G114132","0.38","1.5 (0.4-5.4)","0.33","0.57"
"G149233","-0.11","0.89 (0.032-25)","0","0.95"
"G286514","-5.7","0.0034 (1.8e-05-0.66)","4.5","0.034"
"G80381","1.4","4 (1.2-14)","4.9","0.027"
"G282618","0.028","1 (0.16-6.8)","0","0.98"
"G132989","0.82","2.3 (0.3-17)","0.62","0.43"
"G63979","-0.22","0.8 (0.4-1.6)","0.39","0.53"
"G22999","0.2","1.2 (0.14-11)","0.03","0.86"
"G57605","0.55","1.7 (0.3-9.8)","0.38","0.54"
"G57575","-0.53","0.59 (0.017-20)","0.09","0.77"
"G257397","-1.7","0.19 (0.031-1.1)","3.3","0.07"
"G131890","1.2","3.3 (0.32-35)","1","0.31"
"G79258","-0.22","0.8 (0.42-1.5)","0.44","0.51"
"G5151","-0.91","0.4 (0.13-1.3)","2.4","0.12"
"G171389","0.51","1.7 (0.25-11)","0.28","0.6"
"G254268","0.79","2.2 (0.024-200)","0.12","0.73"
"G203430","0.98","2.7 (0.38-19)","0.97","0.32"
"G11277","0.47","1.6 (0.4-6.5)","0.44","0.51"
"G84126","0.47","1.6 (0.4-6.5)","0.44","0.51"
"G85416","-0.54","0.58 (0.089-3.8)","0.32","0.57"
"G284","-0.57","0.57 (0.25-1.3)","1.8","0.18"
"G127670","0.99","2.7 (0.26-28)","0.69","0.41"
"G149373","1.4","4.1 (1.1-16)","4.2","0.039"
"G2565","-0.76","0.47 (0.0081-27)","0.13","0.71"
"G56666","-0.38","0.68 (0.19-2.5)","0.34","0.56"
"G163071","-0.065","0.94 (0.62-1.4)","0.09","0.76"
"G148870","-0.51","0.6 (0.096-3.8)","0.3","0.59"
"G161502","-0.3","0.74 (0.12-4.6)","0.1","0.75"
"G159162","0.9","2.5 (0.19-33)","0.47","0.49"
"G100652931","0.9","2.5 (0.19-33)","0.47","0.49"
"G4761","1.8","6.1 (0.44-87)","1.8","0.18"
"G439936","-0.13","0.87 (0.53-1.5)","0.27","0.6"
"G83655","0.98","2.7 (0.39-19)","0.99","0.32"
"G1768","-1","0.35 (0.0028-44)","0.18","0.67"
"G131578","0.4","1.5 (0.9-2.4)","2.4","0.12"
"G54777","0.42","1.5 (0.13-18)","0.11","0.74"
"G93010","-0.19","0.83 (0.48-1.4)","0.45","0.5"
"G158506","0.53","1.7 (0.37-7.8)","0.47","0.49"
"G9204","-2.8","0.062 (0.0069-0.57)","6.1","0.014"
"G137868","0.3","1.4 (0.076-24)","0.04","0.84"
"G100507431","-0.25","0.78 (0.098-6.2)","0.06","0.81"
"G7484","-0.3","0.74 (0.067-8.2)","0.06","0.81"
"G10695","0.29","1.3 (0.41-4.3)","0.22","0.64"
"G9522","-0.18","0.84 (0.38-1.8)","0.2","0.66"
