"","beta","HR (95% CI for HR)","wald.test","p.value"
"G1915","0.083","1.1 (0.48-2.5)","0.04","0.84"
"G2597","0.25","1.3 (0.81-2)","1.1","0.29"
"G643334","0.16","1.2 (0.47-2.9)","0.12","0.73"
"G9906","-0.17","0.84 (0.49-1.4)","0.38","0.54"
"G56940","0.14","1.1 (0.54-2.4)","0.12","0.72"
"G642820","0.12","1.1 (0.49-2.6)","0.07","0.79"
"G6234","0.17","1.2 (0.75-1.9)","0.52","0.47"
"G9670","0.089","1.1 (0.65-1.8)","0.11","0.74"
"G360226","0.48","1.6 (0.7-3.7)","1.3","0.26"
"G653113","0.063","1.1 (0.68-1.7)","0.08","0.78"
"G60312","-0.12","0.89 (0.36-2.2)","0.07","0.79"
"G92086","-0.13","0.88 (0.6-1.3)","0.41","0.52"
"G81620","-0.053","0.95 (0.73-1.2)","0.16","0.69"
"G7442","0.24","1.3 (0.47-3.4)","0.22","0.64"
"G652879","-1.2","0.3 (0.098-0.93)","4.4","0.037"
"G644150","0.18","1.2 (0.55-2.6)","0.21","0.64"
"G4026","-0.39","0.68 (0.35-1.3)","1.4","0.24"
"G7360","0.37","1.5 (0.66-3.2)","0.87","0.35"
"G9134","-0.46","0.63 (0.34-1.2)","2.2","0.14"
"G3182","0.011","1 (0.54-1.9)","0","0.97"
"G118426","-0.14","0.87 (0.52-1.5)","0.28","0.6"
"G79753","0.068","1.1 (0.59-1.9)","0.05","0.82"
"G645349","0.14","1.1 (0.7-1.9)","0.3","0.58"
"G389669","0.78","2.2 (0.75-6.4)","2","0.15"
"G1308","0.025","1 (0.86-1.2)","0.08","0.78"
"G255877","0.098","1.1 (0.79-1.5)","0.33","0.57"
"G29841","0.67","1.9 (0.89-4.3)","2.8","0.095"
"G339760","0.095","1.1 (0.63-1.9)","0.11","0.74"
"G644613","-0.48","0.62 (0.23-1.7)","0.92","0.34"
"G2324","0.079","1.1 (0.29-4.1)","0.01","0.91"
"G84239","-0.18","0.83 (0.63-1.1)","1.7","0.19"
"G10824","0.38","1.5 (0.5-4.3)","0.47","0.49"
"G653574","-0.036","0.96 (0.27-3.4)","0","0.95"
"G10362","0.17","1.2 (0.73-1.9)","0.48","0.49"
"G969","-0.15","0.86 (0.67-1.1)","1.3","0.26"
"G653493","0.087","1.1 (0.5-2.4)","0.05","0.83"
"G81893","-0.33","0.72 (0.25-2.1)","0.36","0.55"
"G646360","0.49","1.6 (0.89-3)","2.5","0.12"
"G93107","-0.62","0.54 (0.14-2.1)","0.8","0.37"
"G23417","-0.22","0.8 (0.56-1.1)","1.5","0.23"
"G23074","-0.3","0.74 (0.31-1.8)","0.46","0.5"
"G401010","0.38","1.5 (0.8-2.7)","1.5","0.22"
"G22801","-0.04","0.96 (0.76-1.2)","0.12","0.73"
"G353376","-0.21","0.81 (0.44-1.5)","0.48","0.49"
"G9792","-0.5","0.61 (0.31-1.2)","2.1","0.15"
"G642619","-0.46","0.63 (0.13-3.1)","0.33","0.57"
"G6696","0.019","1 (0.84-1.2)","0.04","0.84"
"G3046","-0.35","0.71 (0.29-1.7)","0.56","0.45"
"G84105","-0.057","0.94 (0.64-1.4)","0.09","0.77"
"G79413","-0.21","0.81 (0.65-1)","3.1","0.077"
"G652300","0.54","1.7 (0.83-3.6)","2.2","0.14"
"G27005","-0.38","0.68 (0.34-1.4)","1.1","0.29"
"G6007","-0.71","0.49 (0.17-1.4)","1.7","0.19"
"G550","-0.062","0.94 (0.41-2.2)","0.02","0.89"
"G644783","-0.28","0.76 (0.3-2)","0.33","0.57"
"G9927","-0.011","0.99 (0.54-1.8)","0","0.97"
"G645448","-0.24","0.79 (0.33-1.9)","0.29","0.59"
"G644897","0.13","1.1 (0.73-1.8)","0.33","0.57"
"G643038","-0.03","0.97 (0.37-2.5)","0","0.95"
"G642161","-0.15","0.86 (0.57-1.3)","0.48","0.49"
"G79168","0.17","1.2 (0.4-3.5)","0.09","0.76"
"G65980","0.4","1.5 (0.61-3.6)","0.77","0.38"
"G648934","-0.27","0.76 (0.38-1.5)","0.58","0.44"
"G91319","-0.27","0.76 (0.52-1.1)","2","0.15"
"G54843","-0.24","0.79 (0.49-1.3)","0.99","0.32"
"G140606","-0.45","0.63 (0.4-1)","3.9","0.048"
"G1504","-0.38","0.68 (0.16-2.8)","0.28","0.6"
"G1633","-0.11","0.9 (0.44-1.8)","0.09","0.76"
"G653148","-0.93","0.4 (0.15-1.1)","3.4","0.067"
"G2299","0.61","1.8 (1-3.3)","4","0.046"
"G161882","-0.16","0.85 (0.59-1.2)","0.71","0.4"
"G651463","0.096","1.1 (0.41-2.9)","0.04","0.85"
"G652663","0.6","1.8 (0.76-4.3)","1.8","0.18"
"G7404","0.49","1.6 (0.93-2.9)","2.9","0.089"
"G2854","-0.65","0.52 (0.16-1.7)","1.1","0.29"
"G84678","-0.57","0.56 (0.18-1.8)","0.95","0.33"
"G240","-0.37","0.69 (0.35-1.4)","1.1","0.29"
"G4326","-0.23","0.8 (0.24-2.7)","0.14","0.71"
"G652224","0.84","2.3 (0.91-5.9)","3.1","0.079"
"G140468","-0.14","0.87 (0.37-2)","0.11","0.74"
"G644234","0.5","1.6 (0.85-3.2)","2.2","0.14"
"G1592","-0.25","0.78 (0.33-1.8)","0.35","0.56"
"G7482","0.27","1.3 (0.73-2.4)","0.81","0.37"
"G644824","0.19","1.2 (0.44-3.3)","0.13","0.71"
"G3017","-0.066","0.94 (0.61-1.4)","0.09","0.76"
"G10912","0.012","1 (0.75-1.4)","0.01","0.94"
"G57222","0.0092","1 (0.5-2)","0","0.98"
"G5826","0.091","1.1 (0.33-3.6)","0.02","0.88"
"G8603","0.053","1.1 (0.64-1.7)","0.04","0.84"
"G96764","0.11","1.1 (0.6-2.1)","0.12","0.72"
"G79912","-0.043","0.96 (0.64-1.4)","0.04","0.83"
"G649500","0.84","2.3 (1.2-4.6)","5.8","0.016"
"G23517","0.071","1.1 (0.63-1.8)","0.07","0.79"
"G648170","0.87","2.4 (0.69-8.3)","1.9","0.17"
"G644519","0.2","1.2 (0.59-2.5)","0.29","0.59"
"G653788","0.75","2.1 (1.2-3.7)","7.2","0.0071"
"G115557","0.14","1.1 (0.34-3.9)","0.05","0.83"
"G9253","-0.078","0.92 (0.52-1.6)","0.07","0.79"
"G440040","0.67","2 (0.9-4.3)","2.9","0.091"
"G55869","0.13","1.1 (0.77-1.7)","0.4","0.53"
"G9723","0.38","1.5 (0.83-2.6)","1.7","0.19"
"G8490","0.11","1.1 (0.82-1.5)","0.5","0.48"
"G143888","0.16","1.2 (0.63-2.2)","0.26","0.61"
"G651682","0.28","1.3 (0.43-4)","0.24","0.63"
"G650677","-0.45","0.64 (0.17-2.4)","0.43","0.51"
"G7468","0.73","2.1 (0.66-6.5)","1.6","0.21"
"G56667","0.08","1.1 (0.95-1.2)","1.5","0.22"
"G7516","0.059","1.1 (0.57-2)","0.03","0.85"
"G360","0.041","1 (0.8-1.3)","0.1","0.76"
"G648229","-0.25","0.78 (0.39-1.6)","0.5","0.48"
"G646307","-0.19","0.83 (0.33-2.1)","0.16","0.69"
"G643576","-0.77","0.47 (0.17-1.3)","2.1","0.14"
"G93611","-0.25","0.78 (0.28-2.2)","0.22","0.64"
"G954","-0.17","0.85 (0.32-2.2)","0.11","0.74"
"G57787","0.63","1.9 (0.94-3.7)","3.2","0.076"
"G653210","-0.13","0.88 (0.39-2)","0.1","0.75"
"G649683","0.38","1.5 (0.64-3.3)","0.82","0.36"
"G399473","0.15","1.2 (0.29-4.7)","0.04","0.84"
"G10252","0.17","1.2 (0.61-2.3)","0.26","0.61"
"G1499","0.14","1.1 (0.38-3.5)","0.06","0.81"
"G404220","0.57","1.8 (0.69-4.5)","1.4","0.23"
"G54536","0.12","1.1 (0.37-3.4)","0.05","0.83"
"G1553","0.88","2.4 (0.76-7.7)","2.2","0.14"
"G9282","-0.097","0.91 (0.24-3.4)","0.02","0.89"
"G643069","0.3","1.4 (0.56-3.3)","0.45","0.5"
"G221914","0.096","1.1 (0.83-1.5)","0.44","0.51"
"G140456","2.1","7.9 (1.9-33)","8.2","0.0043"
"G10313","0.11","1.1 (0.58-2.1)","0.1","0.75"
"G5676","-0.33","0.72 (0.26-2)","0.42","0.51"
"G80332","0.3","1.4 (0.61-3)","0.54","0.46"
"G649064","0.24","1.3 (0.56-2.9)","0.32","0.57"
"G643899","-1.1","0.34 (0.13-0.89)","4.8","0.028"
"G642749","-0.067","0.94 (0.32-2.8)","0.01","0.9"
"G646717","0.26","1.3 (0.61-2.8)","0.46","0.5"
"G649150","-0.17","0.84 (0.58-1.2)","0.79","0.37"
"G23001","-0.1","0.9 (0.41-2)","0.07","0.79"
"G9786","-0.1","0.9 (0.44-1.8)","0.08","0.78"
"G51059","-0.0095","0.99 (0.44-2.2)","0","0.98"
"G161779","-0.22","0.8 (0.47-1.4)","0.67","0.41"
"G6793","-0.024","0.98 (0.6-1.6)","0.01","0.92"
"G83445","1.3","3.6 (0.95-14)","3.6","0.059"
"G2059","-0.0093","0.99 (0.72-1.4)","0","0.96"
"G847","0.012","1 (0.69-1.5)","0","0.95"
"G389075","-0.38","0.68 (0.26-1.8)","0.6","0.44"
"G115811","-0.005","1 (0.74-1.3)","0","0.97"
"G643564","-0.033","0.97 (0.46-2)","0.01","0.93"
"G54033","0.33","1.4 (0.82-2.4)","1.5","0.22"
"G6045","-0.33","0.72 (0.38-1.4)","0.97","0.32"
"G80070","0.93","2.5 (0.54-12)","1.4","0.24"
"G8720","0.09","1.1 (0.56-2.1)","0.07","0.79"
"G441161","0.2","1.2 (0.43-3.5)","0.14","0.7"
"G10618","-0.14","0.87 (0.47-1.6)","0.21","0.65"
"G644689","0.053","1.1 (0.61-1.8)","0.04","0.85"
"G51566","0.16","1.2 (0.69-2)","0.36","0.55"
"G84866","-0.09","0.91 (0.66-1.3)","0.3","0.58"
"G80231","-0.71","0.49 (0.17-1.4)","1.7","0.19"
"G645643","-0.61","0.54 (0.22-1.4)","1.7","0.19"
"G646537","0.27","1.3 (0.75-2.3)","0.89","0.35"
"G51270","-0.12","0.89 (0.35-2.3)","0.07","0.8"
"G57591","0.11","1.1 (0.68-1.8)","0.19","0.66"
"G9765","0.97","2.6 (1.1-6.4)","4.6","0.033"
"G10325","0.55","1.7 (0.93-3.2)","3","0.083"
"G29109","-0.15","0.86 (0.63-1.2)","0.8","0.37"
"G4439","0.05","1.1 (0.63-1.8)","0.04","0.85"
"G4296","-0.06","0.94 (0.53-1.7)","0.04","0.84"
"G425054","-0.048","0.95 (0.74-1.2)","0.14","0.71"
"G6097","0.11","1.1 (0.69-1.8)","0.22","0.64"
"G54407","0.44","1.6 (0.95-2.5)","3.1","0.079"
"G2948","0.14","1.2 (0.63-2.1)","0.22","0.64"
"G653801","-0.041","0.96 (0.41-2.2)","0.01","0.92"
"G642566","-0.43","0.65 (0.19-2.2)","0.48","0.49"
"G2897","0.0054","1 (0.39-2.6)","0","0.99"
"G63917","-0.23","0.8 (0.48-1.3)","0.77","0.38"
"G10409","0.097","1.1 (0.82-1.5)","0.43","0.51"
"G7203","0.23","1.3 (0.72-2.2)","0.65","0.42"
"G10938","-0.22","0.8 (0.59-1.1)","2.2","0.14"
"G27289","0.052","1.1 (0.86-1.3)","0.26","0.61"
"G400954","-0.42","0.65 (0.17-2.6)","0.36","0.55"
"G6453","0.39","1.5 (0.58-3.8)","0.68","0.41"
"G6217","0.27","1.3 (0.24-7.1)","0.1","0.76"
"G57501","-0.16","0.85 (0.45-1.6)","0.26","0.61"
"G29914","0.21","1.2 (0.69-2.2)","0.5","0.48"
"G2121","-0.051","0.95 (0.38-2.4)","0.01","0.91"
"G55280","-0.62","0.54 (0.19-1.5)","1.4","0.25"
"G653314","0.39","1.5 (0.64-3.4)","0.83","0.36"
"G3739","0.058","1.1 (0.7-1.6)","0.08","0.78"
"G387496","0.075","1.1 (0.8-1.5)","0.24","0.62"
"G645669","0.24","1.3 (0.56-2.9)","0.33","0.56"
"G7741","0.41","1.5 (0.57-4)","0.68","0.41"
"G651357","-0.5","0.61 (0.24-1.5)","1.1","0.29"
"G4950","-0.14","0.87 (0.25-3)","0.05","0.83"
"G387893","0.043","1 (0.55-2)","0.02","0.89"
"G649652","0.36","1.4 (0.63-3.3)","0.73","0.39"
"G390326","0.66","1.9 (0.83-4.5)","2.3","0.13"
"G288","-0.076","0.93 (0.53-1.6)","0.07","0.79"
"G1500","-0.16","0.85 (0.33-2.2)","0.11","0.74"
"G57147","0.066","1.1 (0.46-2.5)","0.02","0.88"
"G8460","-0.094","0.91 (0.57-1.5)","0.15","0.7"
"G4256","0.069","1.1 (0.81-1.4)","0.23","0.63"
"G10057","0.047","1 (0.63-1.8)","0.03","0.86"
"G2261","0.098","1.1 (0.72-1.7)","0.2","0.66"
"G9540","0.033","1 (0.57-1.9)","0.01","0.91"
"G283767","-0.26","0.77 (0.25-2.3)","0.22","0.64"
"G653648","-0.022","0.98 (0.52-1.8)","0","0.95"
"G154467","0.14","1.2 (0.75-1.8)","0.42","0.52"
"G653094","-0.063","0.94 (0.46-1.9)","0.03","0.86"
"G653503","0.2","1.2 (0.89-1.7)","1.6","0.21"
"G8243","-0.15","0.86 (0.61-1.2)","0.71","0.4"
"G90417","-0.0039","1 (0.74-1.3)","0","0.98"
"G647451","-0.19","0.82 (0.4-1.7)","0.27","0.6"
"G5475","0.34","1.4 (1-1.9)","4.7","0.031"
"G90957","0.025","1 (0.46-2.3)","0","0.95"
"G442715","0.14","1.2 (0.47-2.8)","0.1","0.75"
"G1456","0.06","1.1 (0.59-1.9)","0.04","0.84"
"G151531","-0.29","0.75 (0.33-1.7)","0.49","0.48"
"G7273","-0.32","0.73 (0.2-2.6)","0.24","0.63"
"G3779","0.14","1.2 (0.81-1.6)","0.61","0.43"
"G25992","-0.65","0.52 (0.18-1.5)","1.5","0.22"
"G167359","0.0012","1 (0.79-1.3)","0","0.99"
"G653658","-0.093","0.91 (0.58-1.4)","0.17","0.68"
"G641846","-0.32","0.73 (0.22-2.4)","0.27","0.6"
"G644003","-0.77","0.46 (0.19-1.1)","2.8","0.093"
"G2000","-0.06","0.94 (0.52-1.7)","0.04","0.84"
"G10199","-1","0.37 (0.13-1)","3.5","0.06"
"G56903","-0.096","0.91 (0.33-2.5)","0.03","0.85"
"G388578","0.71","2 (0.9-4.7)","2.9","0.088"
"G3845","-0.37","0.69 (0.24-2)","0.47","0.49"
"G440081","-0.42","0.66 (0.12-3.5)","0.24","0.62"
"G641989","-0.034","0.97 (0.56-1.7)","0.02","0.9"
"G3150","0.18","1.2 (0.64-2.2)","0.33","0.57"
"G55788","0.07","1.1 (0.73-1.6)","0.12","0.72"
"G649945","0.36","1.4 (0.79-2.6)","1.4","0.23"
"G5540","0.25","1.3 (0.8-2.1)","1.1","0.3"
"G653751","0.62","1.9 (0.99-3.5)","3.8","0.052"
"G84545","0.55","1.7 (0.96-3.2)","3.3","0.069"
"G644829","0.12","1.1 (0.46-2.7)","0.07","0.79"
"G651243","-0.18","0.83 (0.48-1.5)","0.41","0.52"
"G987","-0.092","0.91 (0.46-1.8)","0.07","0.79"
"G25953","-0.41","0.66 (0.39-1.1)","2.3","0.13"
"G1856","-0.42","0.66 (0.34-1.3)","1.5","0.22"
"G654347","-0.11","0.89 (0.6-1.3)","0.31","0.57"
"G2974","0.025","1 (0.83-1.3)","0.05","0.82"
"G649159","-0.065","0.94 (0.36-2.4)","0.02","0.89"
"G1031","0.43","1.5 (0.63-3.7)","0.88","0.35"
"G643323","-0.14","0.87 (0.34-2.2)","0.09","0.77"
"G400870","0.075","1.1 (0.43-2.7)","0.03","0.87"
"G84643","-0.64","0.53 (0.16-1.7)","1.1","0.3"
"G3566","0.16","1.2 (0.79-1.8)","0.62","0.43"
"G653797","1","2.8 (1.2-6.2)","6.2","0.013"
"G653387","-0.59","0.56 (0.23-1.4)","1.6","0.2"
"G83605","-0.28","0.76 (0.36-1.6)","0.53","0.47"
"G642113","-0.03","0.97 (0.85-1.1)","0.22","0.64"
"G645785","-0.47","0.63 (0.32-1.2)","1.8","0.18"
"G642628","-0.48","0.62 (0.28-1.4)","1.4","0.24"
"G1327","-0.7","0.5 (0.16-1.5)","1.5","0.22"
"G441969","0.2","1.2 (0.58-2.6)","0.26","0.61"
"G644310","0.27","1.3 (0.94-1.8)","2.5","0.12"
"G440080","0.0092","1 (0.42-2.4)","0","0.98"
"G140688","-0.45","0.64 (0.27-1.5)","1","0.31"
"G29062","-0.47","0.62 (0.4-0.98)","4.2","0.039"
"G642892","0.1","1.1 (0.62-2)","0.11","0.74"
"G652169","0.43","1.5 (0.67-3.5)","1","0.31"
"G874","0.071","1.1 (0.83-1.4)","0.28","0.59"
"G643206","-0.12","0.89 (0.55-1.4)","0.25","0.62"
"G127731","0.21","1.2 (0.48-3.2)","0.19","0.66"
"G64208","0.24","1.3 (0.88-1.8)","1.6","0.2"
"G23148","-0.11","0.89 (0.52-1.5)","0.17","0.68"
"G653319","0.84","2.3 (0.85-6.3)","2.7","0.1"
"G5524","0.34","1.4 (0.44-4.5)","0.32","0.57"
"G643125","0.45","1.6 (0.54-4.5)","0.7","0.4"
"G644311","-0.47","0.62 (0.2-1.9)","0.67","0.41"
"G4102","-0.12","0.89 (0.46-1.7)","0.13","0.72"
"G6398","0.12","1.1 (0.65-2)","0.19","0.67"
"G114907","0.22","1.3 (0.9-1.7)","1.8","0.18"
"G58531","-0.98","0.37 (0.11-1.3)","2.5","0.11"
"G9241","-0.49","0.62 (0.2-1.9)","0.74","0.39"
"G344191","-0.89","0.41 (0.12-1.5)","1.9","0.17"
"G642468","0.22","1.2 (0.61-2.5)","0.36","0.55"
"G22847","0.16","1.2 (0.75-1.8)","0.5","0.48"
"G84466","0.13","1.1 (0.62-2.1)","0.17","0.68"
"G123016","0.083","1.1 (0.63-1.9)","0.09","0.76"
"G200312","0.099","1.1 (0.8-1.5)","0.36","0.55"
"G6674","0.072","1.1 (0.61-1.9)","0.06","0.8"
"G642528","0.13","1.1 (0.43-3)","0.07","0.79"
"G124216","0.066","1.1 (0.67-1.7)","0.08","0.78"
"G79672","-0.073","0.93 (0.47-1.8)","0.05","0.83"
"G649143","-0.17","0.85 (0.55-1.3)","0.58","0.45"
"G652735","0.037","1 (0.37-2.9)","0.01","0.94"
"G389197","-0.077","0.93 (0.54-1.6)","0.08","0.78"
"G8050","0.011","1 (0.64-1.6)","0","0.96"
"G644364","0.45","1.6 (0.73-3.4)","1.3","0.25"
"G199713","-0.34","0.71 (0.34-1.5)","0.8","0.37"
"G647247","0.052","1.1 (0.41-2.7)","0.01","0.91"
"G2067","-0.13","0.88 (0.5-1.5)","0.22","0.64"
"G222223","-0.13","0.87 (0.67-1.1)","1","0.31"
"G3451","-0.16","0.85 (0.31-2.3)","0.1","0.75"
"G10527","-0.12","0.89 (0.64-1.2)","0.49","0.48"
"G8801","0.23","1.3 (0.78-2)","0.87","0.35"
"G653723","0.1","1.1 (0.55-2.2)","0.08","0.77"
"G54798","0.1","1.1 (0.34-3.7)","0.03","0.87"
"G5862","0.41","1.5 (0.73-3.1)","1.2","0.26"
"G83707","-0.62","0.54 (0.16-1.8)","0.98","0.32"
"G23613","-0.067","0.93 (0.49-1.8)","0.04","0.84"
"G55812","0.17","1.2 (0.55-2.6)","0.19","0.66"
"G5257","0.33","1.4 (0.66-2.9)","0.76","0.38"
"G90226","0.27","1.3 (0.83-2)","1.4","0.24"
"G389760","0.035","1 (0.61-1.7)","0.02","0.9"
"G219959","-0.93","0.39 (0.11-1.4)","2.1","0.15"
"G652913","0.49","1.6 (0.67-3.9)","1.2","0.28"
"G642268","0.26","1.3 (0.48-3.5)","0.27","0.61"
"G759","0.41","1.5 (0.74-3.1)","1.3","0.26"
"G441024","0.3","1.4 (0.82-2.2)","1.4","0.24"
"G646029","-0.61","0.54 (0.23-1.3)","1.9","0.17"
"G644398","-0.53","0.59 (0.27-1.3)","1.9","0.17"
"G5879","-0.16","0.85 (0.44-1.7)","0.22","0.64"
"G647509","0.046","1 (0.52-2.1)","0.02","0.9"
"G26022","0.01","1 (0.71-1.4)","0","0.96"
"G654161","-0.26","0.77 (0.49-1.2)","1.3","0.26"
"G117583","0.29","1.3 (0.39-4.6)","0.21","0.65"
"G112714","-0.0037","1 (0.69-1.4)","0","0.98"
"G5172","-0.035","0.97 (0.51-1.8)","0.01","0.92"
"G644366","-0.77","0.46 (0.18-1.2)","2.6","0.11"
"G648302","-0.081","0.92 (0.43-2)","0.04","0.83"
"G673","-0.11","0.89 (0.64-1.2)","0.43","0.51"
"G80764","0.63","1.9 (0.81-4.4)","2.1","0.14"
"G83732","0.3","1.3 (0.59-3)","0.5","0.48"
"G644883","0.58","1.8 (0.67-4.8)","1.4","0.24"
"G54682","0.15","1.2 (0.86-1.6)","0.94","0.33"
"G650254","0.17","1.2 (0.39-3.6)","0.09","0.76"
"G27301","-0.22","0.8 (0.48-1.3)","0.72","0.4"
"G646870","-0.61","0.54 (0.21-1.4)","1.6","0.2"
"G25966","-0.47","0.62 (0.34-1.1)","2.4","0.12"
"G66036","0.27","1.3 (0.68-2.5)","0.64","0.42"
"G89853","-1.4","0.26 (0.088-0.74)","6.4","0.012"
"G644808","-0.65","0.52 (0.18-1.5)","1.4","0.23"
"G29797","0.0077","1 (0.73-1.4)","0","0.96"
"G285613","-0.034","0.97 (0.69-1.4)","0.04","0.84"
"G1837","0.091","1.1 (0.81-1.5)","0.34","0.56"
"G647681","-0.016","0.98 (0.4-2.4)","0","0.97"
"G94030","-0.46","0.63 (0.14-2.8)","0.37","0.54"
"G84669","0.35","1.4 (0.68-3)","0.89","0.35"
"G7252","0.45","1.6 (0.47-5.2)","0.54","0.46"
"G5424","-0.17","0.84 (0.55-1.3)","0.67","0.41"
"G79913","-0.15","0.86 (0.47-1.6)","0.24","0.63"
"G256329","0.039","1 (0.78-1.4)","0.07","0.79"
"G645367","-0.2","0.82 (0.59-1.1)","1.5","0.22"
"G647760","0.22","1.3 (0.57-2.7)","0.31","0.58"
"G642538","-0.091","0.91 (0.38-2.2)","0.04","0.84"
"G375295","-0.041","0.96 (0.5-1.8)","0.02","0.9"
"G152007","-0.063","0.94 (0.7-1.3)","0.18","0.67"
"G116064","-0.54","0.59 (0.35-0.97)","4.3","0.038"
"G652173","0.31","1.4 (0.85-2.2)","1.6","0.2"
"G441196","0.22","1.2 (0.45-3.4)","0.18","0.67"
"G3631","-0.18","0.83 (0.33-2.1)","0.16","0.69"
"G643722","0.13","1.1 (0.65-2)","0.2","0.66"
"G30011","-0.29","0.75 (0.48-1.2)","1.7","0.2"
"G647357","0.0057","1 (0.23-4.4)","0","0.99"
"G2887","0.73","2.1 (0.93-4.6)","3.2","0.074"
"G647049","-0.13","0.88 (0.34-2.3)","0.07","0.79"
"G65121","0.2","1.2 (0.32-4.6)","0.09","0.77"
"G3993","-0.18","0.84 (0.38-1.9)","0.19","0.66"
"G375061","0.0066","1 (0.62-1.6)","0","0.98"
"G652616","0.032","1 (0.62-1.7)","0.01","0.9"
"G642595","-0.73","0.48 (0.22-1)","3.4","0.066"
"G440104","-0.34","0.71 (0.28-1.8)","0.52","0.47"
"G202134","-0.093","0.91 (0.5-1.7)","0.09","0.76"
"G6469","0.26","1.3 (0.76-2.2)","0.92","0.34"
"G9715","1.5","4.5 (1.3-16)","5.4","0.02"
"G647102","0.1","1.1 (0.54-2.3)","0.08","0.78"
"G80098","-0.034","0.97 (0.51-1.8)","0.01","0.92"
"G648815","-0.29","0.75 (0.41-1.4)","0.86","0.35"
"G221060","0.36","1.4 (0.71-2.9)","0.98","0.32"
"G90459","0.1","1.1 (0.52-2.4)","0.07","0.8"
"G145942","-0.34","0.71 (0.37-1.4)","1.1","0.3"
"G648758","0.094","1.1 (0.41-3)","0.03","0.85"
"G9556","-0.053","0.95 (0.62-1.4)","0.06","0.81"
"G55830","0.13","1.1 (0.54-2.4)","0.11","0.74"
"G287","0.33","1.4 (0.75-2.6)","1.1","0.3"
"G3363","0.87","2.4 (1-5.5)","4.2","0.041"
"G5994","0.15","1.2 (0.49-2.7)","0.12","0.73"
"G6197","-0.024","0.98 (0.45-2.1)","0","0.95"
"G646871","0.57","1.8 (0.81-3.9)","2","0.15"
"G389786","0.57","1.8 (0.86-3.6)","2.4","0.12"
"G642257","-0.16","0.86 (0.29-2.5)","0.08","0.78"
"G644631","0.26","1.3 (0.55-3.1)","0.36","0.55"
"G2077","0.24","1.3 (0.85-1.9)","1.3","0.25"
"G80227","-0.54","0.58 (0.33-1)","3.3","0.069"
"G126299","0.068","1.1 (0.59-1.9)","0.05","0.82"
"G643878","-0.0077","0.99 (0.43-2.3)","0","0.99"
"G647579","0.13","1.1 (0.46-2.8)","0.07","0.79"
"G23119","-0.43","0.65 (0.39-1.1)","2.6","0.11"
"G389203","0.29","1.3 (0.98-1.8)","3.4","0.065"
"G440589","0.03","1 (0.58-1.8)","0.01","0.92"
"G10435","0.041","1 (0.75-1.4)","0.06","0.8"
"G29767","0.76","2.1 (0.98-4.7)","3.6","0.057"
"G53841","0.32","1.4 (0.51-3.7)","0.38","0.53"
"G338805","0.094","1.1 (0.45-2.7)","0.04","0.84"
"G118788","-0.0091","0.99 (0.73-1.4)","0","0.95"
"G1195","0.52","1.7 (0.88-3.2)","2.5","0.11"
"G400451","-0.12","0.88 (0.62-1.3)","0.44","0.5"
"G441873","-0.32","0.73 (0.35-1.5)","0.73","0.39"
"G522","0.098","1.1 (0.69-1.8)","0.17","0.68"
"G3200","0.73","2.1 (0.58-7.6)","1.2","0.26"
"G643191","0.052","1.1 (0.36-3)","0.01","0.92"
"G80207","-0.16","0.85 (0.32-2.2)","0.11","0.74"
"G3587","-0.1","0.9 (0.64-1.3)","0.36","0.55"
"G10234","0.39","1.5 (0.94-2.3)","2.9","0.091"
"G644010","0.34","1.4 (0.32-6.2)","0.2","0.66"
"G5833","-0.37","0.69 (0.39-1.2)","1.6","0.2"
"G2620","-0.12","0.89 (0.54-1.5)","0.21","0.65"
"G653569","-0.23","0.79 (0.37-1.7)","0.35","0.56"
"G6564","0.18","1.2 (0.84-1.7)","1","0.32"
"G10458","-0.13","0.88 (0.47-1.6)","0.17","0.68"
"G4010","0.1","1.1 (0.5-2.5)","0.06","0.8"
"G389158","-0.77","0.46 (0.15-1.4)","1.8","0.19"
"G22888","0.004","1 (0.5-2)","0","0.99"
"G392215","-0.027","0.97 (0.32-3)","0","0.96"
"G399761","-0.39","0.67 (0.22-2.1)","0.47","0.49"
"G653154","0.013","1 (0.33-3.1)","0","0.98"
"G653349","0.75","2.1 (0.43-10)","0.86","0.35"
"G26301","-0.14","0.87 (0.62-1.2)","0.6","0.44"
"G988","0.041","1 (0.68-1.6)","0.04","0.85"
"G2146","-0.072","0.93 (0.65-1.3)","0.15","0.7"
"G54509","-0.17","0.85 (0.59-1.2)","0.83","0.36"
"G641851","-0.34","0.71 (0.29-1.8)","0.54","0.46"
"G80228","-0.35","0.71 (0.41-1.2)","1.7","0.2"
"G23126","-0.13","0.88 (0.56-1.4)","0.32","0.57"
"G644672","-0.13","0.88 (0.51-1.5)","0.23","0.63"
"G79057","-0.83","0.43 (0.19-0.98)","4","0.045"
"G647060","0.22","1.2 (0.67-2.3)","0.46","0.5"
"G113691","0.56","1.8 (0.68-4.5)","1.4","0.24"
"G387804","-0.12","0.88 (0.36-2.2)","0.07","0.79"
"G9462","0.15","1.2 (0.57-2.4)","0.16","0.69"
"G648622","-0.0017","1 (0.6-1.7)","0","0.99"
"G225","-0.024","0.98 (0.32-2.9)","0","0.97"
"G127003","-0.7","0.5 (0.2-1.3)","2.2","0.14"
"G649835","-0.023","0.98 (0.45-2.1)","0","0.95"
