"","beta","HR (95% CI for HR)","wald.test","p.value"
"G643031","-0.43","0.65 (0.41-1)","3.3","0.069"
"G115948","-0.089","0.91 (0.67-1.3)","0.31","0.58"
"G2547","0.065","1.1 (0.5-2.3)","0.03","0.87"
"G8784","0.069","1.1 (0.73-1.6)","0.13","0.72"
"G9644","-0.17","0.85 (0.54-1.3)","0.53","0.47"
"G83759","-0.44","0.64 (0.36-1.2)","2.1","0.14"
"G389396","0.046","1 (0.72-1.5)","0.06","0.81"
"G5738","0.2","1.2 (0.82-1.8)","0.95","0.33"
"G9878","0.38","1.5 (0.88-2.4)","2.2","0.14"
"G23215","-0.22","0.8 (0.41-1.6)","0.43","0.51"
"G650725","-0.37","0.69 (0.27-1.8)","0.61","0.43"
"G204219","0.081","1.1 (0.54-2.2)","0.05","0.82"
"G64167","-0.18","0.83 (0.57-1.2)","0.89","0.35"
"G387263","-0.067","0.94 (0.67-1.3)","0.16","0.69"
"G8411","0.24","1.3 (0.81-2)","1.1","0.29"
"G1959","0.1","1.1 (0.83-1.5)","0.49","0.48"
"G81282","-0.29","0.75 (0.3-1.8)","0.4","0.53"
"G1850","0.06","1.1 (0.74-1.5)","0.11","0.74"
"G391692","-0.091","0.91 (0.57-1.5)","0.14","0.71"
"G121441","0.38","1.5 (0.83-2.6)","1.7","0.19"
"G26819","0.08","1.1 (0.71-1.7)","0.14","0.71"
"G770","-0.37","0.69 (0.51-0.95)","5.3","0.021"
"G390037","0.15","1.2 (0.52-2.6)","0.12","0.72"
"G84953","0.042","1 (0.8-1.4)","0.1","0.75"
"G644929","0.0059","1 (0.54-1.9)","0","0.99"
"G440137","-0.18","0.84 (0.33-2.1)","0.15","0.7"
"G645435","0.23","1.3 (0.53-3)","0.27","0.6"
"G344558","0.022","1 (0.46-2.3)","0","0.96"
"G644012","-0.064","0.94 (0.52-1.7)","0.04","0.83"
"G652570","-0.032","0.97 (0.71-1.3)","0.04","0.84"
"G2815","-0.22","0.81 (0.39-1.7)","0.34","0.56"
"G254910","-0.32","0.73 (0.35-1.5)","0.72","0.4"
"G5828","0.14","1.2 (0.7-1.9)","0.32","0.57"
"G7265","-0.3","0.74 (0.32-1.7)","0.48","0.49"
"G144717","-0.19","0.83 (0.53-1.3)","0.71","0.4"
"G5049","0.13","1.1 (0.7-1.9)","0.27","0.61"
"G23232","0.17","1.2 (0.48-2.9)","0.13","0.72"
"G10692","-0.36","0.7 (0.25-1.9)","0.5","0.48"
"G149685","0.31","1.4 (0.74-2.5)","1","0.31"
"G113189","-0.53","0.59 (0.34-1)","3.9","0.049"
"G158947","0.053","1.1 (0.77-1.4)","0.11","0.74"
"G208","-0.13","0.88 (0.51-1.5)","0.23","0.63"
"G6903","-0.53","0.59 (0.29-1.2)","2.3","0.13"
"G7512","0.17","1.2 (0.77-1.8)","0.57","0.45"
"G648211","-0.051","0.95 (0.52-1.7)","0.03","0.87"
"G643195","-0.28","0.76 (0.29-2)","0.31","0.58"
"G8322","-0.054","0.95 (0.61-1.5)","0.06","0.81"
"G84696","-0.35","0.7 (0.45-1.1)","2.5","0.11"
"G28514","0.1","1.1 (0.85-1.4)","0.59","0.44"
"G3174","-0.11","0.89 (0.61-1.3)","0.34","0.56"
"G643349","-0.2","0.82 (0.42-1.6)","0.34","0.56"
"G8310","-0.28","0.76 (0.45-1.3)","1","0.31"
"G284098","0.004","1 (0.55-1.8)","0","0.99"
"G221261","-1.4","0.25 (0.065-0.99)","3.9","0.049"
"G51804","0.038","1 (0.72-1.5)","0.04","0.84"
"G54414","0.28","1.3 (0.83-2.1)","1.4","0.24"
"G23186","-0.42","0.66 (0.26-1.6)","0.83","0.36"
"G653399","-0.44","0.64 (0.27-1.5)","0.98","0.32"
"G11170","0.057","1.1 (0.88-1.3)","0.35","0.55"
"G649641","0.005","1 (0.58-1.7)","0","0.99"
"G23174","0.27","1.3 (0.68-2.5)","0.68","0.41"
"G26526","-0.13","0.87 (0.36-2.1)","0.09","0.77"
"G653829","-0.085","0.92 (0.5-1.7)","0.07","0.79"
"G401149","-0.18","0.83 (0.42-1.7)","0.26","0.61"
"G26073","-0.057","0.94 (0.64-1.4)","0.08","0.77"
"G649137","-0.55","0.57 (0.21-1.6)","1.2","0.28"
"G339230","-0.18","0.83 (0.57-1.2)","0.9","0.34"
"G647149","0.58","1.8 (0.64-5)","1.2","0.27"
"G8028","0.21","1.2 (0.6-2.5)","0.33","0.56"
"G1084","0.25","1.3 (0.72-2.3)","0.72","0.39"
"G84304","-0.088","0.92 (0.49-1.7)","0.08","0.78"
"G647130","0.21","1.2 (0.57-2.7)","0.29","0.59"
"G646887","-0.18","0.83 (0.31-2.3)","0.13","0.72"
"G147081","-0.079","0.92 (0.63-1.4)","0.16","0.69"
"G199857","0.18","1.2 (0.86-1.7)","1.2","0.28"
"G79364","0.017","1 (0.6-1.7)","0","0.95"
"G7408","0.15","1.2 (0.65-2.1)","0.26","0.61"
"G392138","0.23","1.3 (0.63-2.5)","0.42","0.52"
"G54732","-0.22","0.81 (0.47-1.4)","0.62","0.43"
"G343384","-0.087","0.92 (0.37-2.3)","0.03","0.85"
"G143879","-0.15","0.86 (0.56-1.3)","0.44","0.51"
"G10585","-0.052","0.95 (0.42-2.2)","0.02","0.9"
"G645332","-0.38","0.69 (0.44-1.1)","2.7","0.1"
"G3192","-0.12","0.89 (0.53-1.5)","0.2","0.65"
"G55289","-0.66","0.51 (0.31-0.84)","7","0.0082"
"G11260","-0.0072","0.99 (0.69-1.4)","0","0.97"
"G29775","0.036","1 (0.71-1.5)","0.04","0.85"
"G388698","-1.1","0.32 (0.07-1.5)","2.1","0.14"
"G650491","0.84","2.3 (1-5.3)","3.9","0.047"
"G23623","-0.24","0.79 (0.5-1.2)","1.1","0.3"
"G441150","-0.058","0.94 (0.6-1.5)","0.06","0.8"
"G93643","-0.21","0.81 (0.42-1.6)","0.38","0.54"
"G55663","-0.35","0.71 (0.39-1.3)","1.4","0.25"
"G9016","0.023","1 (0.57-1.9)","0.01","0.94"
"G124808","0.4","1.5 (0.93-2.4)","2.8","0.097"
"G6470","0.12","1.1 (0.65-2)","0.19","0.67"
"G219557","-0.24","0.78 (0.34-1.8)","0.32","0.57"
"G652102","-0.056","0.95 (0.83-1.1)","0.76","0.38"
"G653291","0.007","1 (0.53-1.9)","0","0.98"
"G57409","0.033","1 (0.73-1.5)","0.04","0.85"
"G6311","-0.12","0.88 (0.51-1.5)","0.18","0.67"
"G116983","0.39","1.5 (1-2.1)","4.3","0.037"
"G284861","-0.79","0.45 (0.19-1.1)","3","0.085"
"G402145","0.0011","1 (0.44-2.3)","0","1"
